CFB_ID,Course_ID,Date,Course_Content,Practical_Learning,Course_Management,Course_Value,Course_Difficulty,Learning_Experience
CFB000036,C074,2021-11-10,4,3,4,5,5,3
CFB000037,C065,2021-11-10,2,4,4,4,3,3
CFB000038,C074,2021-11-10,4,3,2,3,3,1
CFB000039,C086,2021-11-10,5,5,3,4,5,4
CFB000040,C039,2021-11-10,4,2,3,4,3,3
CFB000041,C048,2021-11-10,4,3,4,5,3,5
CFB000042,C045,2021-11-10,3,2,3,3,3,4
CFB000043,C046,2021-11-10,4,2,3,3,2,4
CFB000044,C047,2021-11-10,4,2,4,5,2,3
CFB000045,C073,2021-11-10,5,3,5,5,4,5
CFB000046,C035,2021-11-10,4,4,4,3,4,5
CFB000047,C060,2021-11-10,5,2,4,5,4,4
CFB000048,C006,2021-11-10,5,3,1,4,3,4
CFB000049,C080,2021-11-10,3,4,4,3,1,2
CFB000050,C085,2021-11-10,3,2,3,4,4,1
CFB000051,C036,2021-11-10,4,3,3,4,4,4
CFB000052,C027,2021-11-10,4,2,4,3,2,2
CFB000053,C066,2021-11-10,4,4,4,5,4,4
CFB000054,C081,2021-11-10,5,5,2,3,4,4
CFB000055,C085,2021-11-10,2,4,4,3,2,4
CFB000056,C038,2021-11-10,5,4,4,5,2,4
CFB000057,C073,2021-11-11,4,4,4,1,3,2
CFB000058,C054,2021-11-11,3,3,4,3,3,2
CFB000059,C035,2021-11-11,3,2,2,4,2,4
CFB000060,C036,2021-11-11,4,3,3,3,3,4
CFB000061,C036,2021-11-11,3,3,3,4,3,3
CFB000062,C027,2021-11-11,4,3,4,3,1,4
CFB000063,C070,2021-11-11,4,3,3,3,3,3
CFB000064,C069,2021-11-11,2,3,3,3,3,2
CFB000065,C073,2021-11-11,3,3,3,4,3,3
CFB000066,C043,2021-11-11,4,3,3,4,2,3
CFB000067,C004,2021-11-11,5,4,5,4,3,4
CFB000068,C019,2021-11-11,4,2,5,4,4,3
CFB000069,C070,2021-11-11,3,2,3,2,2,3
CFB000070,C070,2021-11-11,3,1,3,2,3,2
CFB000071,C081,2021-11-11,2,4,3,4,2,2
CFB000072,C059,2021-11-11,4,4,2,2,2,3
CFB000073,C013,2021-11-11,2,2,2,3,2,3
CFB000074,C027,2021-11-11,2,4,4,2,1,3
CFB000075,C016,2021-11-11,3,3,4,4,2,5
CFB000076,C081,2021-11-11,4,5,3,4,4,4
CFB000077,C066,2021-11-11,2,3,3,3,4,2
CFB000078,C017,2021-11-11,4,5,5,3,3,5
CFB000079,C034,2021-11-11,4,2,3,2,3,1
CFB000080,C038,2021-11-11,4,2,4,3,4,3
CFB000081,C021,2021-11-11,5,3,3,4,4,4
CFB000082,C034,2021-11-11,3,4,4,3,3,4
CFB000083,C019,2021-11-11,5,3,5,3,3,5
CFB000084,C051,2021-11-11,3,3,3,5,4,4
CFB000085,C088,2021-11-11,3,2,3,3,2,4
CFB000086,C051,2021-11-11,3,3,4,5,3,3
CFB000087,C034,2021-11-11,4,3,3,4,1,3
CFB000088,C063,2021-11-11,3,5,4,4,3,3
CFB000089,C074,2021-11-11,5,4,4,4,4,4
CFB000090,C030,2021-11-11,2,3,4,3,3,4
CFB000091,C075,2021-11-11,3,3,3,3,5,4
CFB000092,C039,2021-11-11,3,3,4,3,3,3
CFB000093,C030,2021-11-11,5,5,4,4,5,3
CFB000094,C013,2021-11-11,4,3,3,4,4,4
CFB000095,C044,2021-11-11,4,4,4,5,4,4
CFB000096,C043,2021-11-11,4,4,5,5,3,3
CFB000097,C077,2021-11-11,4,4,4,5,4,5
CFB000098,C032,2021-11-11,2,2,3,3,3,2
CFB000099,C031,2021-11-11,2,3,3,3,3,5
CFB000100,C086,2021-11-11,5,4,4,4,2,5
CFB000101,C066,2021-11-11,3,4,3,4,3,4
CFB000102,C069,2021-11-11,4,4,3,5,4,3
CFB000103,C086,2021-11-11,3,2,4,3,2,2
CFB000104,C010,2021-11-11,5,4,4,5,5,5
CFB000105,C073,2021-11-11,4,4,4,3,1,1
CFB000106,C088,2021-11-11,4,3,3,3,2,4
CFB000107,C062,2021-11-12,2,2,3,3,3,2
CFB000108,C030,2021-11-12,4,3,2,3,2,4
CFB000109,C045,2021-11-12,3,4,3,3,2,3
CFB000110,C010,2021-11-12,3,2,3,4,3,2
CFB000111,C079,2021-11-12,2,3,3,4,3,2
CFB000112,C089,2021-11-12,4,2,3,2,3,4
CFB000113,C066,2021-11-12,3,3,3,3,5,2
CFB000114,C010,2021-11-12,3,2,3,2,3,3
CFB000115,C077,2021-11-12,4,4,5,3,2,4
CFB000116,C067,2021-11-12,4,2,3,4,2,4
CFB000117,C039,2021-11-12,5,3,2,3,2,3
CFB000118,C030,2021-11-12,3,3,3,4,2,5
CFB000119,C010,2021-11-12,4,3,4,4,4,5
CFB000120,C029,2021-11-12,3,3,2,4,3,5
CFB000121,C056,2021-11-12,5,3,3,3,4,3
CFB000122,C017,2021-11-12,4,5,5,4,4,3
CFB000123,C040,2021-11-12,3,3,4,5,5,4
CFB000124,C006,2021-11-12,3,4,3,3,3,4
CFB000125,C079,2021-11-12,5,4,4,3,2,5
CFB000126,C038,2021-11-12,2,4,3,3,4,3
CFB000127,C036,2021-11-12,3,5,5,3,4,4
CFB000128,C077,2021-11-12,3,4,3,3,3,3
CFB000129,C061,2021-11-12,2,2,3,3,3,3
CFB000130,C070,2021-11-12,3,3,3,4,4,4
CFB000131,C020,2021-11-12,4,4,5,4,3,5
CFB000132,C040,2021-11-12,4,4,3,3,4,4
CFB000133,C048,2021-11-12,2,3,3,3,3,3
CFB000134,C046,2021-11-12,4,3,1,4,4,3
CFB000135,C089,2021-11-12,5,2,3,4,4,5
CFB000136,C038,2021-11-12,4,3,3,4,4,3
CFB000137,C045,2021-11-12,3,3,5,4,3,5
CFB000138,C087,2021-11-12,3,3,5,4,4,4
CFB000139,C074,2021-11-12,4,4,4,3,2,3
CFB000140,C087,2021-11-12,4,2,4,5,3,3
CFB000141,C029,2021-11-12,5,5,5,5,3,3
CFB000142,C086,2021-11-12,5,5,5,5,4,5
CFB000143,C013,2021-11-12,2,4,3,4,3,2
CFB000144,C077,2021-11-12,5,3,4,3,2,3
CFB000145,C013,2021-11-12,5,4,4,4,3,4
CFB000146,C032,2021-11-13,3,4,3,5,4,4
CFB000147,C002,2021-11-13,4,2,4,2,2,2
CFB000148,C059,2021-11-13,2,1,3,2,3,3
CFB000149,C044,2021-11-13,2,1,2,4,3,3
CFB000150,C060,2021-11-13,3,4,4,5,3,4
CFB000151,C006,2021-11-13,3,1,4,3,3,1
CFB000152,C081,2021-11-13,2,2,3,3,3,3
CFB000153,C074,2021-11-13,4,3,4,3,3,2
CFB000154,C040,2021-11-13,3,2,4,4,1,4
CFB000155,C056,2021-11-13,3,3,3,3,4,2
CFB000156,C086,2021-11-13,3,2,3,2,3,4
CFB000157,C047,2021-11-13,3,4,2,5,5,3
CFB000158,C065,2021-11-13,1,3,3,1,2,3
CFB000159,C078,2021-11-13,4,3,2,5,3,4
CFB000160,C030,2021-11-13,3,4,4,4,2,4
CFB000161,C077,2021-11-13,3,2,4,4,4,3
CFB000162,C054,2021-11-13,5,4,4,5,2,3
CFB000163,C070,2021-11-13,3,3,4,2,4,3
CFB000164,C061,2021-11-13,2,4,3,4,3,3
CFB000165,C036,2021-11-13,4,4,4,2,3,3
CFB000166,C002,2021-11-13,4,2,2,4,2,5
CFB000167,C027,2021-11-13,3,3,3,2,3,2
CFB000168,C039,2021-11-13,3,4,4,3,3,3
CFB000169,C073,2021-11-13,4,1,4,2,4,3
CFB000170,C086,2021-11-13,4,3,3,2,4,5
CFB000171,C089,2021-11-13,4,4,3,3,5,4
CFB000172,C039,2021-11-13,3,4,4,2,4,4
CFB000173,C008,2021-11-13,4,4,4,5,3,1
CFB000174,C035,2021-11-13,4,3,4,3,2,3
CFB000175,C065,2021-11-13,5,5,4,2,3,4
CFB000176,C019,2021-11-13,3,3,2,5,4,2
CFB000177,C070,2021-11-13,1,3,4,2,3,3
CFB000178,C037,2021-11-13,5,3,5,5,3,3
CFB000179,C068,2021-11-13,4,2,2,5,5,3
CFB000180,C031,2021-11-13,4,3,5,3,2,4
CFB000181,C043,2021-11-13,4,2,2,4,2,2
CFB000182,C037,2021-11-13,4,2,2,3,4,2
CFB000183,C044,2021-11-13,4,4,3,3,5,3
CFB000184,C013,2021-11-13,3,2,2,3,2,2
CFB000185,C021,2021-11-13,4,2,4,3,3,1
CFB000186,C035,2021-11-13,4,5,3,3,5,3
CFB000187,C019,2021-11-13,5,2,4,2,2,3
CFB000188,C046,2021-11-13,3,3,4,4,4,3
CFB000189,C085,2021-11-13,4,3,2,3,4,3
CFB000190,C002,2021-11-13,4,4,4,5,3,4
CFB000191,C070,2021-11-13,4,3,4,3,2,4
CFB000192,C084,2021-11-13,4,3,3,4,2,3
CFB000193,C021,2021-11-13,5,4,4,4,3,3
CFB000194,C068,2021-11-13,3,3,5,4,3,4
CFB000195,C021,2021-11-13,3,4,4,4,3,5
CFB000196,C018,2021-11-13,3,4,3,3,2,3
CFB000197,C007,2021-11-13,4,5,2,3,2,3
CFB000198,C006,2021-11-13,3,3,4,4,5,4
CFB000199,C038,2021-11-13,4,3,5,4,3,4
CFB000200,C002,2021-11-13,4,3,3,4,2,3
CFB000201,C046,2021-11-13,3,5,2,5,2,4
CFB000202,C079,2021-11-13,4,5,3,3,2,4
CFB000203,C002,2021-11-13,5,3,4,4,2,4
CFB000204,C035,2021-11-13,3,1,2,3,2,3
CFB000205,C034,2021-11-13,3,4,3,3,3,3
CFB000206,C013,2021-11-13,5,4,2,3,3,4
CFB000207,C037,2021-11-13,5,3,4,5,2,4
CFB000208,C078,2021-11-14,4,3,4,3,2,3
CFB000209,C060,2021-11-14,2,2,4,3,2,4
CFB000210,C069,2021-11-14,2,4,5,5,2,4
CFB000211,C029,2021-11-14,3,3,5,2,2,4
CFB000212,C074,2021-11-14,2,3,3,4,4,4
CFB000213,C078,2021-11-14,4,3,2,4,2,3
CFB000214,C087,2021-11-14,2,2,2,4,2,4
CFB000215,C034,2021-11-14,2,3,2,4,1,4
CFB000216,C039,2021-11-14,3,3,2,5,3,3
CFB000217,C032,2021-11-14,5,3,2,3,4,2
CFB000218,C004,2021-11-14,2,3,4,4,4,3
CFB000219,C059,2021-11-14,5,3,3,4,4,3
CFB000220,C044,2021-11-14,3,2,3,5,2,4
CFB000221,C056,2021-11-14,4,3,4,3,1,4
CFB000222,C081,2021-11-14,3,2,3,2,2,4
CFB000223,C056,2021-11-14,3,3,4,5,3,4
CFB000224,C034,2021-11-14,5,4,4,4,2,5
CFB000225,C015,2021-11-14,5,5,4,5,3,5
CFB000226,C013,2021-11-14,3,4,4,3,3,3
CFB000227,C048,2021-11-14,3,4,1,5,3,2
CFB000228,C089,2021-11-14,4,3,4,4,3,4
CFB000229,C018,2021-11-14,5,3,4,5,2,5
CFB000230,C017,2021-11-14,3,3,3,3,4,2
CFB000231,C080,2021-11-14,4,2,3,4,4,3
CFB000232,C070,2021-11-14,4,4,4,5,3,4
CFB000233,C046,2021-11-14,3,2,2,3,4,3
CFB000234,C047,2021-11-14,3,4,4,3,2,3
CFB000235,C055,2021-11-14,3,5,3,4,3,3
CFB000236,C004,2021-11-14,3,3,4,3,2,2
CFB000237,C002,2021-11-14,4,3,4,3,2,3
CFB000238,C081,2021-11-14,5,3,5,4,5,4
CFB000239,C087,2021-11-14,3,3,3,3,2,4
CFB000240,C061,2021-11-14,4,5,5,5,2,5
CFB000241,C063,2021-11-14,2,4,4,3,3,2
CFB000242,C007,2021-11-14,5,1,2,2,3,3
CFB000243,C010,2021-11-14,4,4,4,5,4,5
CFB000244,C059,2021-11-14,3,5,5,5,4,5
CFB000245,C065,2021-11-15,4,4,4,3,4,2
CFB000246,C015,2021-11-15,4,3,4,4,4,3
CFB000247,C074,2021-11-15,3,2,1,2,1,3
CFB000248,C067,2021-11-15,5,4,3,3,2,4
CFB000249,C079,2021-11-15,2,2,1,3,3,2
CFB000250,C015,2021-11-15,1,2,2,1,3,2
CFB000251,C006,2021-11-15,4,5,3,3,3,3
CFB000252,C054,2021-11-15,3,2,3,4,3,2
CFB000253,C061,2021-11-15,4,3,2,3,4,3
CFB000254,C067,2021-11-15,2,4,4,4,4,3
CFB000255,C088,2021-11-15,3,2,3,4,2,2
CFB000256,C010,2021-11-15,4,3,5,3,2,3
CFB000257,C043,2021-11-15,4,4,2,3,4,4
CFB000258,C006,2021-11-15,4,3,3,2,3,3
CFB000259,C018,2021-11-15,4,3,5,3,1,3
CFB000260,C043,2021-11-15,4,4,5,4,3,5
CFB000261,C006,2021-11-15,5,2,3,4,3,4
CFB000262,C080,2021-11-15,3,4,3,4,3,4
CFB000263,C089,2021-11-15,3,3,5,2,1,2
CFB000264,C070,2021-11-15,2,3,3,2,3,2
CFB000265,C081,2021-11-15,4,4,2,2,2,4
CFB000266,C070,2021-11-15,3,3,3,5,4,3
CFB000267,C038,2021-11-15,4,4,5,3,5,2
CFB000268,C036,2021-11-15,4,3,3,4,4,2
CFB000269,C019,2021-11-15,5,4,3,2,3,3
CFB000270,C070,2021-11-15,2,3,4,3,3,1
CFB000271,C021,2021-11-15,3,4,3,4,3,3
CFB000272,C088,2021-11-15,3,4,3,4,3,3
CFB000273,C010,2021-11-15,4,4,3,3,3,3
CFB000274,C006,2021-11-15,4,4,4,4,2,3
CFB000275,C061,2021-11-15,4,2,5,3,3,3
CFB000276,C031,2021-11-15,5,4,4,3,5,4
CFB000277,C039,2021-11-15,4,2,3,3,5,5
CFB000278,C063,2021-11-15,4,3,4,4,2,4
CFB000279,C075,2021-11-15,3,2,4,3,4,3
CFB000280,C062,2021-11-15,4,2,4,3,4,3
CFB000281,C061,2021-11-15,3,5,1,4,4,3
CFB000282,C054,2021-11-15,3,3,4,5,3,3
CFB000283,C029,2021-11-15,3,4,3,3,3,3
CFB000284,C070,2021-11-15,5,1,3,1,3,3
CFB000285,C079,2021-11-15,4,3,4,4,4,2
CFB000286,C075,2021-11-15,2,2,3,2,2,2
CFB000287,C060,2021-11-15,3,2,4,3,4,3
CFB000288,C040,2021-11-15,4,2,2,4,4,3
CFB000289,C038,2021-11-15,4,4,2,3,4,5
CFB000290,C021,2021-11-15,4,4,4,4,4,4
CFB000291,C006,2021-11-16,4,3,4,3,1,4
CFB000292,C087,2021-11-16,3,3,2,3,5,2
CFB000293,C078,2021-11-16,4,3,3,3,1,5
CFB000294,C030,2021-11-16,3,3,1,3,2,2
CFB000295,C065,2021-11-16,3,2,3,3,4,4
CFB000296,C019,2021-11-16,2,2,3,3,3,3
CFB000297,C073,2021-11-16,4,3,5,3,3,4
CFB000298,C068,2021-11-16,4,2,3,3,5,2
CFB000299,C027,2021-11-16,2,1,3,2,4,3
CFB000300,C060,2021-11-16,2,3,5,2,1,4
CFB000301,C013,2021-11-16,2,4,3,4,3,4
CFB000302,C021,2021-11-16,4,4,3,5,4,3
CFB000303,C059,2021-11-16,4,4,4,3,3,4
CFB000304,C035,2021-11-16,4,2,4,3,3,3
CFB000305,C077,2021-11-16,4,3,4,4,3,3
CFB000306,C079,2021-11-16,2,3,4,2,3,4
CFB000307,C027,2021-11-16,3,2,4,4,2,3
CFB000308,C036,2021-11-16,3,4,3,5,4,4
CFB000309,C040,2021-11-16,4,4,5,4,3,5
CFB000310,C021,2021-11-16,4,2,4,3,2,1
CFB000311,C051,2021-11-16,1,2,2,3,2,2
CFB000312,C039,2021-11-16,3,3,4,5,5,4
CFB000313,C027,2021-11-16,2,1,2,3,2,3
CFB000314,C044,2021-11-16,3,4,2,5,4,2
CFB000315,C029,2021-11-16,2,4,3,3,3,3
CFB000316,C061,2021-11-16,3,5,3,5,4,3
CFB000317,C015,2021-11-16,5,4,3,3,4,4
CFB000318,C046,2021-11-16,5,3,4,3,1,4
CFB000319,C067,2021-11-16,3,3,3,5,1,4
CFB000320,C017,2021-11-16,4,4,4,4,2,5
CFB000321,C051,2021-11-16,4,3,2,4,3,4
CFB000322,C069,2021-11-16,5,3,5,4,2,5
CFB000323,C067,2021-11-16,3,3,3,4,3,4
CFB000324,C019,2021-11-16,3,3,4,4,3,4
CFB000325,C060,2021-11-16,4,3,3,5,4,4
CFB000326,C059,2021-11-16,5,5,2,3,3,4
CFB000327,C002,2021-11-16,3,4,5,3,3,2
CFB000328,C074,2021-11-16,3,2,3,4,3,4
CFB000329,C067,2021-11-16,5,2,3,4,3,3
CFB000330,C039,2021-11-16,4,3,3,4,3,4
CFB000331,C089,2021-11-16,2,3,3,4,5,5
CFB000332,C084,2021-11-16,5,2,3,5,4,4
CFB000333,C030,2021-11-16,4,4,4,4,2,3
CFB000334,C070,2021-11-16,3,4,4,5,5,2
CFB000335,C008,2021-11-16,5,2,5,4,4,5
CFB000336,C006,2021-11-16,2,3,3,4,3,2
CFB000337,C070,2021-11-16,2,1,4,4,2,3
CFB000338,C045,2021-11-17,4,2,4,1,4,3
CFB000339,C084,2021-11-17,3,3,4,1,3,2
CFB000340,C073,2021-11-17,3,3,3,2,4,5
CFB000341,C075,2021-11-17,2,2,3,4,3,3
CFB000342,C065,2021-11-17,3,4,3,3,3,2
CFB000343,C002,2021-11-17,3,3,1,2,1,3
CFB000344,C017,2021-11-17,4,3,4,3,3,3
CFB000345,C084,2021-11-17,4,2,3,1,3,2
CFB000346,C069,2021-11-17,5,4,5,3,3,4
CFB000347,C073,2021-11-17,4,2,5,2,2,4
CFB000348,C039,2021-11-17,4,3,4,3,3,2
CFB000349,C086,2021-11-17,3,4,4,5,3,5
CFB000350,C051,2021-11-17,3,1,1,3,2,2
CFB000351,C047,2021-11-17,4,2,3,1,3,2
CFB000352,C006,2021-11-17,4,2,3,4,4,2
CFB000353,C062,2021-11-17,4,3,5,4,3,4
CFB000354,C062,2021-11-17,3,4,2,4,4,3
CFB000355,C054,2021-11-17,4,3,4,2,1,4
CFB000356,C048,2021-11-17,3,3,1,3,3,3
CFB000357,C038,2021-11-17,4,4,3,3,4,5
CFB000358,C019,2021-11-17,5,2,1,3,5,4
CFB000359,C056,2021-11-17,3,3,2,2,2,2
CFB000360,C078,2021-11-17,2,3,2,3,3,3
CFB000361,C048,2021-11-17,2,5,2,3,5,3
CFB000362,C019,2021-11-17,4,3,3,4,4,3
CFB000363,C070,2021-11-17,3,4,5,4,2,3
CFB000364,C034,2021-11-17,4,5,4,3,1,3
CFB000365,C010,2021-11-17,4,3,3,3,3,4
CFB000366,C004,2021-11-17,4,3,4,4,2,4
CFB000367,C070,2021-11-17,3,2,4,1,5,3
CFB000368,C062,2021-11-17,4,4,5,3,5,5
CFB000369,C044,2021-11-17,5,4,5,4,3,4
CFB000370,C010,2021-11-17,4,3,4,5,3,4
CFB000371,C015,2021-11-17,5,3,4,4,4,4
CFB000372,C030,2021-11-17,3,4,2,4,3,4
CFB000373,C085,2021-11-17,5,4,5,4,4,4
CFB000374,C010,2021-11-17,4,3,3,4,4,3
CFB000375,C059,2021-11-17,4,2,3,4,4,4
CFB000376,C078,2021-11-17,3,2,2,3,2,3
CFB000377,C007,2021-11-17,5,5,3,5,4,5
CFB000378,C027,2021-11-17,2,3,3,4,4,3
CFB000379,C008,2021-11-17,3,3,4,3,5,3
CFB000380,C068,2021-11-17,4,4,4,5,4,3
CFB000381,C074,2021-11-17,3,3,3,3,3,4
CFB000382,C019,2021-11-17,4,5,4,4,3,4
CFB000383,C069,2021-11-17,4,5,4,5,3,4
CFB000384,C048,2021-11-17,2,2,4,4,3,4
CFB000385,C029,2021-11-17,5,4,4,4,4,4
CFB000386,C066,2021-11-17,3,4,5,2,3,3
CFB000387,C037,2021-11-18,3,5,5,3,3,5
CFB000388,C080,2021-11-18,4,4,3,5,4,5
CFB000389,C079,2021-11-18,5,2,3,4,2,4
CFB000390,C037,2021-11-18,2,3,3,4,2,3
CFB000391,C054,2021-11-18,2,2,3,2,3,4
CFB000392,C062,2021-11-18,4,2,1,4,3,3
CFB000393,C046,2021-11-18,4,3,3,2,2,2
CFB000394,C065,2021-11-18,3,4,4,3,4,3
CFB000395,C073,2021-11-18,3,4,3,4,2,3
CFB000396,C066,2021-11-18,4,5,4,3,3,2
CFB000397,C077,2021-11-18,3,3,2,3,2,4
CFB000398,C029,2021-11-18,4,3,3,3,4,3
CFB000399,C054,2021-11-18,5,3,3,3,4,4
CFB000400,C002,2021-11-18,3,4,2,3,4,2
CFB000401,C080,2021-11-18,3,3,4,4,2,4
CFB000402,C068,2021-11-18,3,5,3,4,2,3
CFB000403,C002,2021-11-18,5,4,4,3,5,3
CFB000404,C029,2021-11-18,5,3,4,4,3,3
CFB000405,C019,2021-11-18,4,4,3,4,4,3
CFB000406,C063,2021-11-18,4,3,2,3,2,4
CFB000407,C051,2021-11-18,3,2,3,3,3,3
CFB000408,C038,2021-11-18,4,2,4,2,4,4
CFB000409,C040,2021-11-18,5,2,3,2,4,3
CFB000410,C006,2021-11-18,2,1,2,1,3,3
CFB000411,C077,2021-11-18,3,4,4,2,2,2
CFB000412,C084,2021-11-18,4,4,5,4,2,4
CFB000413,C018,2021-11-18,4,3,3,3,4,2
CFB000414,C013,2021-11-18,5,3,5,2,1,5
CFB000415,C077,2021-11-18,3,2,3,3,3,3
CFB000416,C021,2021-11-18,5,2,3,5,3,4
CFB000417,C065,2021-11-18,5,3,2,4,4,4
CFB000418,C013,2021-11-18,3,4,4,5,3,4
CFB000419,C030,2021-11-18,4,3,3,4,5,3
CFB000420,C059,2021-11-18,5,4,5,4,4,5
CFB000421,C047,2021-11-18,3,3,2,3,3,4
CFB000422,C075,2021-11-18,4,3,4,4,3,5
CFB000423,C032,2021-11-18,3,3,4,3,5,4
CFB000424,C048,2021-11-18,4,4,5,4,2,4
CFB000425,C055,2021-11-18,4,4,3,4,5,4
CFB000426,C017,2021-11-18,3,3,2,2,1,4
CFB000427,C088,2021-11-18,3,4,2,4,3,5
CFB000428,C035,2021-11-18,4,2,4,3,3,3
CFB000429,C051,2021-11-18,4,3,4,4,4,4
CFB000430,C084,2021-11-18,5,3,5,4,4,5
CFB000431,C087,2021-11-18,4,4,3,4,2,3
CFB000432,C068,2021-11-18,4,5,3,2,3,3
CFB000433,C089,2021-11-18,5,4,3,3,4,3
CFB000434,C019,2021-11-18,5,5,4,4,4,4
CFB000435,C085,2021-11-18,4,4,3,3,1,1
CFB000436,C061,2021-11-18,4,3,3,3,3,3
CFB000437,C016,2021-11-19,2,5,4,4,3,3
CFB000438,C074,2021-11-19,4,2,3,2,2,3
CFB000439,C030,2021-11-19,3,3,3,2,3,3
CFB000440,C087,2021-11-19,4,4,4,4,3,4
CFB000441,C036,2021-11-19,3,5,4,2,4,4
CFB000442,C020,2021-11-19,3,3,3,4,1,3
CFB000443,C044,2021-11-19,5,5,4,4,1,5
CFB000444,C046,2021-11-19,3,3,4,5,4,3
CFB000445,C034,2021-11-19,3,3,4,1,3,3
CFB000446,C030,2021-11-19,4,1,3,4,5,4
CFB000447,C075,2021-11-19,4,3,5,4,1,3
CFB000448,C067,2021-11-19,3,2,3,4,2,1
CFB000449,C036,2021-11-19,4,4,3,4,3,4
CFB000450,C081,2021-11-19,3,5,2,4,3,2
CFB000451,C054,2021-11-19,4,4,3,3,3,3
CFB000452,C069,2021-11-19,3,3,2,3,2,1
CFB000453,C029,2021-11-19,3,2,2,2,3,3
CFB000454,C086,2021-11-19,1,2,2,3,3,2
CFB000455,C010,2021-11-19,1,3,3,3,2,3
CFB000456,C060,2021-11-19,2,4,5,5,4,4
CFB000457,C002,2021-11-19,4,2,3,3,4,2
CFB000458,C055,2021-11-19,2,3,1,2,2,2
CFB000459,C006,2021-11-19,4,5,3,4,3,5
CFB000460,C085,2021-11-19,5,4,4,4,3,4
CFB000461,C087,2021-11-19,3,4,3,4,2,4
CFB000462,C070,2021-11-19,3,5,4,4,5,3
CFB000463,C088,2021-11-19,3,2,4,1,2,3
CFB000464,C085,2021-11-19,4,4,3,3,2,5
CFB000465,C024,2021-11-19,4,3,4,3,3,4
CFB000466,C075,2021-11-19,3,3,3,3,4,5
CFB000467,C054,2021-11-19,2,4,5,4,3,3
CFB000468,C088,2021-11-19,5,5,2,3,3,5
CFB000469,C035,2021-11-19,4,3,4,5,3,5
CFB000470,C024,2021-11-19,4,3,4,5,3,3
CFB000471,C063,2021-11-19,5,3,4,4,2,4
CFB000472,C015,2021-11-19,2,3,4,4,4,2
CFB000473,C054,2021-11-19,3,3,3,4,5,3
CFB000474,C036,2021-11-19,5,4,4,5,2,3
CFB000475,C031,2021-11-19,5,5,4,5,3,5
CFB000476,C060,2021-11-19,2,3,2,4,5,2
CFB000477,C077,2021-11-19,3,2,3,3,5,4
CFB000478,C068,2021-11-19,4,1,4,3,2,5
CFB000479,C030,2021-11-19,5,4,4,4,3,4
CFB000480,C066,2021-11-19,4,2,3,3,2,4
CFB000481,C004,2021-11-19,5,4,4,4,3,4
CFB000482,C062,2021-11-19,4,3,3,2,2,5
CFB000483,C030,2021-11-19,3,4,2,4,3,4
CFB000484,C030,2021-11-19,3,4,3,2,3,4
CFB000485,C080,2021-11-20,3,2,1,3,4,3
CFB000486,C002,2021-11-20,2,3,2,3,3,4
CFB000487,C036,2021-11-20,1,3,1,3,5,3
CFB000488,C010,2021-11-20,3,1,2,3,1,4
CFB000489,C019,2021-11-20,5,3,2,4,4,4
CFB000490,C029,2021-11-20,3,4,4,3,3,3
CFB000491,C019,2021-11-20,3,3,2,3,5,5
CFB000492,C062,2021-11-20,4,2,2,3,5,5
CFB000493,C069,2021-11-20,3,2,2,2,2,3
CFB000494,C046,2021-11-20,4,4,4,3,5,2
CFB000495,C032,2021-11-20,3,2,2,3,2,3
