Table,Column,Data_Type,Primary_Key,Foreign_Key,Description,Source_Column,Transformation_Method,Original_or_Derived,Synthetic_or_Original
TheoryFeedback,Practical_Learning,Integer 1-5,NO,,Rating 1-5,,Modelled (year + course + student effects); Difficulty modelled independently of satisfaction,Derived,Synthetic
TheoryFeedback,Course_Management,Integer 1-5,NO,,Rating 1-5,,Modelled (year + course + student effects); Difficulty modelled independently of satisfaction,Derived,Synthetic
TheoryFeedback,Course_Value,Integer 1-5,NO,,Rating 1-5,,Modelled (year + course + student effects); Difficulty modelled independently of satisfaction,Derived,Synthetic
TheoryFeedback,Course_Difficulty,Integer 1-5,NO,,Rating 1-5,,Modelled (year + course + student effects); Difficulty modelled independently of satisfaction,Derived,Synthetic
TheoryFeedback,Learning_Experience,Integer 1-5,NO,,Rating 1-5,,Modelled (year + course + student effects); Difficulty modelled independently of satisfaction,Derived,Synthetic
LabFeedback,FeedbackID,Text,YES,,Lab feedback ID,,Generated LFB######,Derived,Synthetic
LabFeedback,LabID,Text,NO,Lab.LabID,Lab rated,,From the lab attached to the course,Derived,Synthetic
LabFeedback,SystemPerformance,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,SystemAvailability,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,InternetConnectivity,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,EquipmentAvailability,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,LabMaterialAvailability,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,StaffAvailability,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,TechnicalSupport,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,LabCleanliness,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,SeatingAndSpace,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,LabSafety,Integer 1-5,NO,,Rating 1-5,,Modelled with per-parameter offsets,Derived,Synthetic
LabFeedback,Date,Date,NO,,Submission date,,From feedback event,Derived,Synthetic
Lab,LabID,Text,YES,,Lab code,,Generated,Derived,Synthetic
Lab,LabName,Text,NO,,Lab name,subjects.Subject_Name,"Course name + "" Lab""",Derived,Synthetic
Lab,Course_ID,Text,NO,Course.C_ID,Course served by the lab,,1:1 with each Lab-type course,Derived,Synthetic
Lab,Dept_ID,Text,NO,Department.Dept_ID,Owning department,,From the course,Derived,Synthetic
FeedbackCompletion,S_ID,Text,YES (with Year),Student.S_ID,Student,students.Student_ID,Rename,Original,Partly Original
FeedbackCompletion,Year,Text,YES (with S_ID),,"Academic year, e.g. 2023-24",,Derived from the academic calendar,Derived,Synthetic
FeedbackCompletion,Completion,Boolean,NO,,TRUE if >=75% of enrolled courses were rated,,Computed from generated submissions,Derived,Synthetic
Faculty,Specialization,Text,NO,,"Teaching specialisation, aligned to the department",subjects.Subject_Name,Owned course name for source faculty; assigned domain for new faculty,Derived,Partly Original
