FeedbackID,LabID,SystemPerformance,SystemAvailability,InternetConnectivity,EquipmentAvailability,LabMaterialAvailability,StaffAvailability,TechnicalSupport,LabCleanliness,SeatingAndSpace,LabSafety,Date
LFB000050,L021,4,4,4,5,5,5,5,5,5,5,2021-11-11
LFB000051,L010,1,3,1,3,3,3,3,4,4,4,2021-11-11
LFB000052,L017,2,2,1,3,2,2,3,4,2,3,2021-11-11
LFB000053,L025,4,3,4,3,3,4,4,5,3,3,2021-11-11
LFB000054,L001,5,2,4,4,4,3,4,5,3,3,2021-11-11
LFB000055,L023,3,2,4,4,3,4,3,5,4,4,2021-11-11
LFB000056,L001,5,3,4,3,5,5,4,4,5,5,2021-11-11
LFB000057,L017,4,5,1,4,5,4,4,5,4,2,2021-11-11
LFB000058,L013,3,5,4,3,5,5,4,4,3,5,2021-11-12
LFB000059,L024,4,4,5,5,3,5,5,3,4,4,2021-11-12
LFB000060,L012,4,4,3,3,3,4,4,4,4,5,2021-11-12
LFB000061,L003,4,3,4,5,4,3,4,5,4,3,2021-11-12
LFB000062,L011,4,4,4,4,3,3,4,4,5,4,2021-11-12
LFB000063,L026,3,4,2,5,3,5,3,3,4,4,2021-11-12
LFB000064,L007,3,2,4,4,3,4,2,5,4,3,2021-11-12
LFB000065,L025,4,5,5,4,2,3,3,3,3,4,2021-11-12
LFB000066,L008,3,2,4,3,3,3,4,3,1,4,2021-11-12
LFB000067,L011,3,2,2,3,4,3,2,3,2,3,2021-11-12
LFB000068,L015,4,5,4,5,4,5,5,3,4,4,2021-11-12
LFB000069,L023,3,4,4,4,4,4,3,5,4,5,2021-11-12
LFB000070,L011,3,4,3,2,4,3,2,3,3,4,2021-11-12
LFB000071,L023,5,3,4,4,2,3,3,4,5,5,2021-11-12
LFB000072,L020,3,4,4,3,3,3,4,3,5,4,2021-11-12
LFB000073,L020,3,4,4,4,3,4,4,5,5,4,2021-11-12
LFB000074,L018,3,4,3,3,4,4,3,4,3,3,2021-11-12
LFB000075,L026,3,4,3,3,5,4,4,4,4,3,2021-11-12
LFB000076,L004,4,4,3,3,4,3,2,5,3,3,2021-11-12
LFB000077,L012,4,5,5,4,4,3,5,5,5,4,2021-11-12
LFB000078,L016,5,3,2,5,3,5,5,2,3,4,2021-11-12
LFB000079,L014,3,5,4,5,4,4,4,4,4,4,2021-11-13
LFB000080,L025,4,5,3,4,4,3,5,4,4,5,2021-11-13
LFB000081,L005,3,3,4,5,5,4,1,4,4,3,2021-11-13
LFB000082,L020,5,4,5,5,4,4,2,5,5,5,2021-11-13
LFB000083,L006,4,4,3,3,3,3,4,4,3,3,2021-11-13
LFB000084,L014,3,3,3,3,5,3,5,5,4,5,2021-11-13
LFB000085,L013,5,4,3,5,3,5,5,5,5,4,2021-11-13
LFB000086,L020,3,2,2,2,5,3,3,3,2,4,2021-11-13
LFB000087,L001,2,3,4,4,3,3,3,5,4,5,2021-11-13
LFB000088,L010,3,5,2,5,3,2,3,4,3,3,2021-11-13
LFB000089,L026,3,2,4,3,3,3,3,5,3,3,2021-11-13
LFB000090,L024,2,3,3,3,4,4,2,4,3,5,2021-11-13
LFB000091,L001,3,4,4,5,5,4,4,2,5,4,2021-11-13
LFB000092,L007,5,4,5,5,5,4,4,4,5,5,2021-11-13
LFB000093,L008,3,4,3,4,3,4,3,4,2,3,2021-11-13
LFB000094,L012,1,2,3,3,2,3,3,2,1,3,2021-11-13
LFB000095,L015,2,4,2,4,2,3,4,5,4,4,2021-11-13
LFB000096,L015,2,3,2,4,4,3,3,5,4,3,2021-11-13
LFB000097,L017,4,3,3,4,3,4,3,3,4,5,2021-11-13
LFB000098,L004,3,5,3,4,3,2,3,2,3,3,2021-11-14
LFB000099,L017,3,3,2,5,2,4,4,4,4,1,2021-11-14
LFB000100,L004,4,2,1,2,2,3,2,4,4,4,2021-11-14
LFB000101,L021,4,3,2,4,5,2,3,5,2,4,2021-11-14
LFB000102,L018,3,5,5,5,4,5,5,5,4,4,2021-11-14
LFB000103,L008,3,3,4,3,4,3,4,4,3,3,2021-11-14
LFB000104,L019,3,4,4,4,3,4,5,4,4,4,2021-11-14
LFB000105,L012,3,4,2,4,4,4,4,4,3,4,2021-11-14
LFB000106,L013,2,1,2,3,2,2,2,2,3,3,2021-11-14
LFB000107,L011,3,5,3,5,4,3,2,2,3,4,2021-11-14
LFB000108,L007,3,4,3,4,4,3,3,3,5,5,2021-11-14
LFB000109,L008,2,1,5,3,4,4,4,3,3,3,2021-11-14
LFB000110,L012,4,3,3,3,5,4,4,4,4,3,2021-11-14
LFB000111,L006,5,3,5,4,5,4,4,3,3,4,2021-11-14
LFB000112,L014,5,3,3,4,3,4,4,5,4,4,2021-11-15
LFB000113,L010,3,4,3,4,2,2,3,3,3,3,2021-11-15
LFB000114,L008,3,3,4,4,2,3,3,4,4,4,2021-11-15
LFB000115,L012,2,4,5,5,4,3,5,4,5,5,2021-11-15
LFB000116,L010,2,3,3,2,2,4,3,4,5,2,2021-11-15
LFB000117,L021,2,3,4,4,4,5,4,4,4,3,2021-11-15
LFB000118,L008,3,3,1,4,2,2,2,3,4,3,2021-11-15
LFB000119,L023,2,3,3,5,5,4,3,5,4,4,2021-11-15
LFB000120,L024,4,4,4,3,3,3,4,3,2,5,2021-11-15
LFB000121,L016,4,3,4,3,4,2,5,3,3,3,2021-11-15
LFB000122,L004,3,4,4,4,4,4,3,4,3,4,2021-11-15
LFB000123,L019,3,5,5,3,5,4,4,3,4,3,2021-11-15
LFB000124,L024,4,4,4,5,4,5,4,5,5,3,2021-11-15
LFB000125,L026,3,3,4,4,3,4,4,4,3,3,2021-11-15
LFB000126,L016,3,4,5,2,2,4,5,3,3,3,2021-11-15
LFB000127,L020,4,4,4,3,4,5,5,3,3,3,2021-11-15
LFB000128,L007,3,3,2,3,4,5,4,4,4,4,2021-11-15
LFB000129,L013,2,4,4,5,3,2,4,4,4,5,2021-11-15
LFB000130,L023,4,4,3,5,5,4,4,4,4,5,2021-11-15
LFB000131,L004,4,2,4,2,4,3,3,3,3,3,2021-11-15
LFB000132,L014,4,4,3,4,3,3,3,3,4,4,2021-11-15
LFB000133,L026,3,5,4,5,4,4,4,3,3,3,2021-11-15
LFB000134,L010,3,4,3,5,5,4,3,4,3,5,2021-11-15
LFB000135,L001,3,4,3,4,5,4,5,3,4,4,2021-11-15
LFB000136,L005,3,2,4,3,3,3,2,4,4,2,2021-11-15
LFB000137,L021,2,3,3,4,4,3,3,4,3,4,2021-11-15
LFB000138,L008,5,4,3,4,4,3,4,5,5,4,2021-11-15
LFB000139,L023,3,2,3,3,4,3,4,3,4,2,2021-11-15
LFB000140,L005,5,2,4,3,4,4,2,3,3,3,2021-11-15
LFB000141,L026,5,4,4,4,5,4,4,3,4,3,2021-11-16
LFB000142,L025,4,4,5,4,4,4,3,3,4,5,2021-11-16
LFB000143,L002,3,4,3,4,5,3,4,4,3,5,2021-11-16
LFB000144,L002,3,3,3,4,3,2,3,1,5,4,2021-11-16
LFB000145,L026,2,3,3,4,3,3,3,4,3,3,2021-11-16
LFB000146,L015,3,4,5,4,5,5,2,5,4,4,2021-11-16
LFB000147,L014,2,2,3,4,4,5,2,4,5,4,2021-11-16
LFB000148,L020,2,4,4,4,5,3,3,4,4,3,2021-11-16
LFB000149,L014,2,3,1,5,3,3,4,3,3,3,2021-11-16
LFB000150,L001,5,3,3,4,4,4,4,4,2,3,2021-11-16
LFB000151,L026,2,4,2,3,1,4,5,3,3,3,2021-11-16
LFB000152,L025,4,3,4,4,4,4,4,3,3,4,2021-11-16
LFB000153,L024,4,4,5,3,5,4,3,5,4,5,2021-11-16
LFB000154,L003,3,3,2,3,3,4,2,5,3,3,2021-11-16
LFB000155,L002,5,5,3,3,1,3,3,4,4,2,2021-11-16
LFB000156,L020,3,3,3,5,4,3,3,2,4,3,2021-11-17
LFB000157,L012,4,3,4,2,2,3,1,3,4,4,2021-11-17
LFB000158,L004,4,3,4,4,4,2,2,4,3,3,2021-11-17
LFB000159,L005,4,3,3,4,2,2,3,3,4,2,2021-11-17
LFB000160,L014,3,4,2,4,5,3,5,5,3,5,2021-11-17
LFB000161,L010,3,3,1,5,5,4,3,4,3,4,2021-11-17
LFB000162,L011,3,3,2,3,3,3,3,4,1,3,2021-11-17
LFB000163,L010,5,4,4,4,2,5,4,5,3,5,2021-11-17
LFB000164,L021,3,3,3,4,5,4,5,5,5,4,2021-11-17
LFB000165,L010,3,4,4,4,5,3,4,4,4,5,2021-11-17
LFB000166,L026,3,4,3,5,4,4,5,5,3,4,2021-11-17
LFB000167,L020,3,3,4,1,3,3,4,4,4,4,2021-11-17
LFB000168,L014,3,5,4,5,4,4,4,3,5,3,2021-11-17
LFB000169,L015,2,5,3,3,2,4,2,4,4,4,2021-11-17
LFB000170,L005,5,4,4,3,5,4,4,5,5,3,2021-11-17
LFB000171,L026,3,4,3,4,2,2,3,3,5,5,2021-11-17
LFB000172,L001,4,3,3,4,3,3,2,2,3,3,2021-11-17
LFB000173,L010,4,5,3,3,3,4,2,3,3,3,2021-11-17
LFB000174,L010,5,2,4,3,4,3,4,5,3,4,2021-11-17
LFB000175,L025,2,5,5,4,5,4,4,4,3,4,2021-11-17
LFB000176,L015,3,5,3,2,2,3,4,4,3,4,2021-11-17
LFB000177,L015,2,3,2,3,4,3,3,3,3,3,2021-11-17
LFB000178,L026,2,4,3,5,3,4,3,4,4,4,2021-11-17
LFB000179,L013,3,3,3,3,3,2,4,4,3,4,2021-11-17
LFB000180,L021,5,3,4,4,2,5,4,4,4,3,2021-11-17
LFB000181,L016,2,4,3,5,3,3,4,4,3,3,2021-11-17
LFB000182,L014,2,4,4,5,2,4,4,3,4,3,2021-11-17
LFB000183,L010,3,3,4,4,3,4,4,4,4,4,2021-11-17
LFB000184,L001,2,3,5,3,4,3,4,3,4,5,2021-11-17
LFB000185,L010,3,3,5,4,3,3,3,5,5,4,2021-11-18
LFB000186,L014,4,4,3,3,4,4,3,3,4,4,2021-11-18
LFB000187,L024,3,3,2,4,5,5,4,5,3,5,2021-11-18
LFB000188,L021,3,5,4,5,3,4,4,5,5,4,2021-11-18
LFB000189,L001,5,4,5,5,4,4,4,5,4,5,2021-11-18
LFB000190,L025,4,5,4,5,5,4,5,4,5,5,2021-11-18
LFB000191,L024,4,3,3,3,3,2,2,4,4,5,2021-11-18
LFB000192,L012,4,5,3,5,5,5,4,4,4,5,2021-11-18
LFB000193,L011,3,3,5,5,5,5,3,3,3,4,2021-11-18
LFB000194,L018,4,4,2,5,4,5,5,5,4,3,2021-11-18
LFB000195,L012,4,1,5,5,2,4,2,4,4,3,2021-11-18
LFB000196,L018,4,4,3,4,4,1,3,3,3,5,2021-11-18
LFB000197,L003,5,4,5,4,4,4,4,3,3,5,2021-11-18
LFB000198,L015,4,4,2,5,4,5,3,5,4,5,2021-11-18
LFB000199,L020,3,3,2,4,3,3,4,5,2,5,2021-11-18
LFB000200,L003,3,5,4,5,4,4,5,5,4,5,2021-11-18
LFB000201,L007,5,5,4,5,4,5,3,4,3,2,2021-11-18
LFB000202,L002,3,4,3,5,4,3,4,3,4,4,2021-11-18
LFB000203,L011,2,1,3,3,3,4,2,2,4,5,2021-11-18
LFB000204,L025,5,3,5,5,4,5,4,3,3,5,2021-11-19
LFB000205,L010,4,2,3,4,5,5,4,4,4,5,2021-11-19
LFB000206,L015,4,3,2,3,5,5,4,1,3,3,2021-11-19
LFB000207,L010,3,5,3,4,4,3,5,4,3,4,2021-11-19
LFB000208,L020,4,5,2,5,3,3,3,3,3,5,2021-11-19
LFB000209,L011,3,2,3,3,3,2,3,4,2,2,2021-11-19
LFB000210,L012,4,3,3,3,3,5,1,3,2,3,2021-11-19
LFB000211,L004,4,5,4,3,4,4,4,5,4,3,2021-11-19
LFB000212,L004,2,4,3,3,5,5,3,3,4,4,2021-11-19
LFB000213,L006,4,5,3,3,3,3,4,3,5,4,2021-11-19
LFB000214,L002,5,5,2,3,4,3,5,3,4,5,2021-11-19
LFB000215,L001,4,3,4,3,4,4,4,3,3,5,2021-11-19
LFB000216,L020,4,3,3,2,2,3,3,3,4,4,2021-11-19
LFB000217,L005,2,2,3,4,5,4,4,1,5,3,2021-11-19
LFB000218,L026,4,4,3,3,4,4,3,4,4,4,2021-11-19
LFB000219,L002,1,3,3,3,3,3,2,3,2,4,2021-11-19
LFB000220,L023,3,4,4,5,4,2,3,4,3,2,2021-11-19
LFB000221,L021,2,4,4,4,4,4,3,3,2,5,2021-11-19
LFB000222,L020,2,2,2,4,3,3,2,3,2,4,2021-11-19
LFB000223,L012,3,3,3,3,3,3,1,5,3,3,2021-11-19
LFB000224,L007,3,3,2,3,5,2,3,3,3,2,2021-11-19
LFB000225,L018,4,2,3,3,3,3,3,4,5,3,2021-11-19
LFB000226,L012,3,4,4,4,5,5,5,3,4,4,2021-11-19
LFB000227,L005,4,2,5,4,3,4,3,3,4,4,2021-11-19
LFB000228,L006,2,4,3,1,2,3,3,2,4,4,2021-11-19
LFB000229,L004,3,4,5,3,4,4,4,4,3,3,2021-11-20
LFB000230,L017,3,4,3,4,4,3,5,5,3,3,2021-11-20
LFB000231,L023,3,4,2,3,4,3,5,5,4,2,2021-11-20
LFB000232,L024,4,5,5,5,3,5,3,3,4,4,2021-11-20
LFB000233,L025,4,2,4,4,4,2,5,3,3,3,2021-11-20
LFB000234,L008,4,4,2,4,4,3,5,3,2,4,2021-11-20
LFB000235,L019,4,3,3,1,4,3,3,4,5,3,2021-11-20
LFB000236,L026,5,4,3,4,5,5,4,5,4,4,2021-11-20
LFB000237,L010,3,2,3,3,3,5,3,4,2,5,2021-11-20
LFB000238,L025,5,3,5,4,3,4,4,5,3,4,2021-11-20
LFB000239,L002,4,5,4,4,3,5,3,3,5,5,2021-11-20
LFB000240,L026,5,4,2,3,3,3,4,5,4,3,2021-11-20
LFB000241,L024,2,3,4,4,4,3,2,3,3,2,2021-11-20
LFB000242,L026,2,2,3,3,3,2,3,3,3,3,2021-11-20
LFB000243,L003,4,3,3,3,4,2,5,4,4,4,2021-11-20
LFB000244,L011,3,2,4,3,4,3,4,5,3,4,2021-11-21
LFB000245,L007,3,2,2,2,4,3,2,2,4,2,2021-11-21
LFB000246,L007,3,3,3,3,4,4,5,2,4,3,2021-11-21
LFB000247,L021,4,3,4,2,4,4,2,2,2,3,2021-11-21
LFB000248,L001,4,2,4,4,2,3,5,4,2,4,2021-11-21
LFB000249,L002,4,3,3,4,2,3,2,4,4,4,2021-11-21
LFB000250,L021,3,4,3,5,3,3,3,4,3,5,2021-11-21
LFB000251,L021,4,4,5,5,4,5,4,4,4,4,2021-11-21
LFB000252,L007,4,1,3,3,3,5,2,3,3,3,2021-11-21
LFB000253,L018,2,5,4,2,2,3,3,4,4,4,2021-11-21
LFB000254,L022,4,4,4,4,5,5,4,4,3,4,2021-11-21
LFB000255,L024,4,4,5,3,5,3,3,4,4,3,2021-11-21
LFB000256,L016,3,3,2,4,4,3,3,4,3,4,2021-11-21
LFB000257,L026,4,3,5,3,3,5,4,4,3,3,2021-11-21
LFB000258,L021,3,3,4,4,5,5,3,5,4,5,2021-11-21
LFB000259,L006,4,4,3,4,4,4,4,4,3,3,2021-11-21
LFB000260,L022,4,4,2,5,5,5,4,4,4,3,2021-11-21
LFB000261,L026,4,5,4,2,4,5,4,4,5,5,2021-11-21
LFB000262,L015,4,3,3,3,3,2,3,2,3,3,2021-11-21
LFB000263,L001,4,5,3,4,5,5,5,3,3,5,2021-11-21
LFB000264,L002,2,2,3,3,3,3,4,4,4,3,2021-11-21
LFB000265,L016,4,2,3,3,3,2,3,4,3,4,2021-11-21
LFB000266,L024,2,3,4,3,3,2,2,4,2,2,2021-11-21
LFB000267,L011,4,3,2,4,3,4,5,5,3,3,2021-11-21
LFB000268,L010,3,4,4,3,2,5,5,4,5,5,2021-11-21
LFB000269,L004,4,4,4,3,3,4,2,3,3,4,2021-11-21
LFB000270,L017,4,4,2,4,4,4,4,4,4,5,2021-11-22
LFB000271,L022,3,3,2,4,3,4,4,5,4,3,2021-11-22
LFB000272,L011,3,5,3,3,4,5,2,3,2,2,2021-11-22
LFB000273,L011,5,2,4,3,2,4,2,3,2,3,2021-11-22
LFB000274,L006,4,5,4,4,4,5,5,4,4,4,2021-11-22
LFB000275,L010,5,4,5,5,4,4,3,4,5,5,2021-11-22
LFB000276,L020,3,4,4,3,4,4,4,3,2,3,2021-11-22
LFB000277,L010,4,3,4,3,4,2,4,5,4,3,2021-11-22
LFB000278,L021,4,3,3,3,4,4,4,5,3,3,2021-11-22
LFB000279,L023,5,4,3,4,4,5,5,5,4,5,2021-11-22
LFB000280,L016,5,4,5,5,5,5,5,5,4,5,2021-11-22
LFB000281,L021,3,2,4,3,5,5,3,5,5,3,2021-11-22
LFB000282,L015,1,3,3,3,2,4,3,3,3,4,2021-11-22
LFB000283,L019,5,5,4,4,5,4,4,5,3,4,2021-11-22
LFB000284,L019,5,3,5,4,4,4,3,4,4,4,2021-11-22
LFB000285,L026,3,3,3,3,1,3,3,3,3,3,2021-11-22
LFB000286,L026,3,3,3,3,4,2,3,3,3,3,2021-11-22
LFB000287,L016,3,3,3,3,3,4,4,3,3,2,2021-11-22
LFB000288,L015,3,3,5,3,4,4,4,4,5,3,2021-11-22
LFB000289,L011,1,3,2,3,2,4,3,3,4,5,2021-11-22
LFB000290,L012,4,4,2,5,5,4,4,4,3,4,2021-11-23
LFB000291,L014,4,2,3,4,4,2,3,5,4,4,2021-11-23
LFB000292,L010,3,4,4,4,5,2,4,5,4,3,2021-11-23
LFB000293,L025,4,4,3,5,3,5,4,4,3,4,2021-11-23
LFB000294,L022,5,5,4,5,4,3,3,4,3,4,2021-11-23
LFB000295,L025,2,3,3,4,4,5,4,5,4,5,2021-11-23
LFB000296,L001,4,4,4,3,5,4,4,4,4,4,2021-11-23
LFB000297,L001,3,5,4,4,3,4,4,3,4,5,2021-11-23
LFB000298,L022,4,4,3,5,3,3,2,4,4,3,2021-11-23
LFB000299,L004,4,3,2,5,5,3,3,3,3,4,2021-11-23
LFB000300,L004,5,4,5,5,5,5,5,4,5,5,2021-11-23
LFB000301,L008,2,3,3,3,4,5,4,4,4,5,2021-11-23
LFB000302,L021,3,2,2,3,3,3,4,3,3,4,2021-11-23
LFB000303,L016,3,4,3,3,4,3,3,4,4,4,2021-11-23
LFB000304,L019,5,4,3,2,4,3,4,3,4,4,2021-11-23
LFB000305,L013,2,3,1,3,3,4,4,3,1,4,2021-11-23
LFB000306,L010,4,3,4,4,4,4,4,5,3,3,2021-11-23
LFB000307,L016,5,4,4,4,3,3,5,3,5,5,2021-11-23
LFB000308,L012,4,3,3,3,3,3,4,3,3,5,2021-11-23
LFB000309,L013,4,3,5,4,5,4,3,5,4,4,2021-11-23
LFB000310,L025,4,3,3,3,5,5,3,3,4,4,2021-11-23
LFB000311,L005,3,4,4,4,3,3,3,4,3,5,2021-11-23
LFB000312,L013,3,3,2,4,4,3,3,3,5,2,2021-11-23
LFB000313,L020,3,2,3,4,4,4,4,5,3,4,2021-11-23
LFB000314,L024,3,3,3,4,4,3,4,3,4,3,2021-11-23
LFB000315,L013,3,3,5,3,5,3,3,4,4,3,2021-11-24
LFB000316,L025,3,5,5,4,4,4,4,5,3,4,2021-11-24
LFB000317,L005,2,2,3,2,3,2,1,3,4,3,2021-11-24
LFB000318,L025,4,3,4,4,4,2,5,2,4,5,2021-11-24
LFB000319,L011,2,2,4,3,4,4,5,5,5,3,2021-11-24
LFB000320,L015,4,3,3,4,5,4,4,4,4,5,2021-11-24
LFB000321,L002,4,3,4,4,3,4,4,4,1,5,2021-11-24
LFB000322,L002,4,5,4,5,4,5,5,4,5,4,2021-11-24
LFB000323,L025,3,4,3,4,4,5,3,3,3,4,2021-11-24
LFB000324,L016,3,2,4,3,3,4,5,2,4,4,2021-11-24
LFB000325,L020,2,3,2,3,3,4,3,5,2,2,2021-11-24
LFB000326,L005,3,3,4,4,4,3,3,4,3,5,2021-11-24
LFB000327,L022,4,4,2,3,3,3,5,4,3,4,2021-11-24
LFB000328,L025,3,4,3,3,4,3,4,4,3,3,2021-11-24
LFB000329,L001,3,3,4,3,4,3,3,3,4,4,2021-11-24
LFB000330,L022,4,4,5,3,4,4,2,3,5,5,2021-11-24
LFB000331,L023,5,4,2,3,4,5,3,4,5,5,2021-11-24
LFB000332,L026,3,5,2,2,4,4,4,3,4,4,2021-11-24
LFB000333,L001,3,3,4,4,3,4,3,3,3,4,2021-11-24
LFB000334,L014,5,4,3,4,4,4,5,4,2,3,2021-11-24
LFB000335,L026,3,2,2,4,3,2,3,4,3,4,2021-11-24
LFB000336,L010,3,5,3,2,4,4,5,3,2,5,2021-11-24
LFB000337,L011,3,3,3,5,2,4,3,3,4,4,2021-11-24
LFB000338,L003,3,3,3,3,3,4,3,4,4,3,2021-11-25
LFB000339,L021,3,4,3,4,3,3,3,3,4,5,2021-11-25
LFB000340,L026,2,4,3,3,2,3,3,3,4,5,2021-11-25
LFB000341,L017,3,4,3,4,3,3,3,4,5,3,2021-11-25
LFB000342,L017,3,4,4,5,3,4,2,2,3,4,2021-11-25
LFB000343,L007,3,3,2,2,2,2,2,4,1,4,2021-11-25
LFB000344,L022,4,3,2,4,4,4,3,3,4,3,2021-11-25
LFB000345,L015,3,4,3,3,5,3,3,3,4,2,2021-11-25
LFB000346,L012,5,4,4,5,5,5,4,3,4,5,2021-11-25
LFB000347,L015,2,1,4,3,4,4,5,5,3,4,2021-11-25
LFB000348,L019,3,3,5,5,4,4,4,4,5,4,2021-11-25
LFB000349,L011,3,4,4,3,4,3,4,4,4,3,2021-11-25
LFB000350,L018,3,4,3,3,2,3,2,4,3,3,2021-11-25
LFB000351,L020,3,3,2,2,3,4,3,3,2,2,2021-11-25
LFB000352,L012,4,4,3,2,4,3,2,2,3,4,2021-11-25
LFB000353,L007,3,4,2,4,4,4,4,4,4,5,2021-11-25
LFB000354,L002,3,5,4,3,3,5,5,4,4,4,2021-11-25
LFB000355,L026,4,2,4,3,4,3,5,4,4,5,2021-11-25
LFB000356,L016,2,3,3,3,4,3,3,4,3,3,2021-11-25
LFB000357,L005,4,3,2,3,2,4,4,2,2,2,2021-11-25
LFB000358,L010,4,3,3,4,5,4,3,3,5,2,2021-11-25
LFB000359,L012,3,3,4,3,3,3,4,4,2,3,2021-11-25
LFB000360,L024,5,2,5,3,4,4,3,5,3,4,2021-11-25
LFB000361,L013,3,5,3,4,4,5,3,4,5,2,2021-11-26
LFB000362,L025,4,2,4,4,5,4,4,2,3,4,2021-11-26
LFB000363,L004,5,5,3,3,5,5,3,4,4,4,2021-11-26
LFB000364,L014,5,3,4,4,5,4,3,2,4,5,2021-11-26
LFB000365,L006,3,5,5,3,4,5,3,3,4,4,2021-11-26
LFB000366,L011,3,3,3,5,4,5,3,5,3,3,2021-11-26
LFB000367,L025,4,5,5,5,5,5,4,5,4,4,2021-11-26
LFB000368,L022,3,3,2,3,5,5,3,4,3,5,2021-11-26
LFB000369,L012,5,4,3,4,3,5,4,5,5,2,2021-11-26
LFB000370,L004,2,4,3,4,3,4,3,5,3,4,2021-11-26
LFB000371,L023,4,4,4,5,3,4,4,4,3,5,2021-11-26
LFB000372,L021,3,4,2,5,3,4,2,4,4,4,2021-11-26
LFB000373,L004,5,4,2,5,4,5,4,5,4,3,2021-11-26
LFB000374,L011,5,3,4,3,4,2,3,5,5,5,2021-11-26
LFB000375,L018,4,4,4,2,3,4,5,5,4,5,2021-11-26
LFB000376,L021,3,3,1,2,4,4,4,3,3,3,2021-11-26
LFB000377,L019,3,4,5,4,3,2,4,4,4,3,2021-11-26
LFB000378,L012,3,4,5,4,3,4,3,5,4,5,2021-11-26
LFB000379,L017,2,2,4,3,3,4,4,3,2,4,2021-11-26
LFB000380,L014,1,3,4,3,1,4,4,4,4,4,2021-11-26
LFB000381,L004,3,5,4,2,3,2,3,5,4,4,2021-11-26
LFB000382,L010,4,3,4,3,4,2,2,4,3,5,2021-11-26
LFB000383,L004,5,2,3,4,5,3,2,5,5,3,2021-11-26
