S_ID,Year,Completion
SX0182,2021-22,True
SX0183,2021-22,True
SX0184,2021-22,False
SX0185,2021-22,True
SX0186,2021-22,True
SX0187,2021-22,True
SX0188,2021-22,True
SX0189,2021-22,True
SX0190,2021-22,True
SX0191,2021-22,True
SX0192,2021-22,True
SX0193,2021-22,False
SX0194,2021-22,True
SX0195,2021-22,True
SX0196,2021-22,True
SX0197,2021-22,True
SX0198,2021-22,True
SX0199,2021-22,True
SX0200,2021-22,False
SX0201,2021-22,False
SX0202,2021-22,True
SX0203,2021-22,False
SX0204,2021-22,False
SX0205,2021-22,True
SX0206,2021-22,True
SX0207,2021-22,True
SX0208,2021-22,True
SX0209,2021-22,True
SX0210,2021-22,False
SX0211,2021-22,True
SX0212,2021-22,False
SX0213,2021-22,True
SX0214,2021-22,False
SX0215,2021-22,True
SX0216,2021-22,False
SX0217,2021-22,True
SX0218,2021-22,False
SX0219,2021-22,True
SX0220,2021-22,False
SX0221,2021-22,True
SX0222,2021-22,True
SX0223,2021-22,True
SX0224,2021-22,True
SX0225,2021-22,True
SX0226,2021-22,True
SX0227,2021-22,True
SX0228,2021-22,True
SX0229,2021-22,True
SX0230,2021-22,True
SX0231,2021-22,True
SX0232,2021-22,False
SX0233,2021-22,True
SX0234,2021-22,True
SX0235,2021-22,True
SX0236,2021-22,True
SX0237,2021-22,True
SX0238,2021-22,True
SX0239,2021-22,True
SX0240,2021-22,True
SX0241,2021-22,True
SX0242,2021-22,True
SX0243,2021-22,True
SX0244,2021-22,False
SX0245,2021-22,True
SX0246,2021-22,True
SX0247,2021-22,True
SX0248,2021-22,True
SX0249,2021-22,True
SX0250,2021-22,True
SX0251,2021-22,True
SX0252,2021-22,False
SX0253,2021-22,True
SX0254,2021-22,False
SX0255,2021-22,True
SX0256,2021-22,True
SX0257,2021-22,False
SX0258,2021-22,True
SX0259,2021-22,False
SX0260,2021-22,True
SX0261,2021-22,True
SX0262,2021-22,True
SX0263,2021-22,True
SX0264,2021-22,True
SX0265,2021-22,False
SX0266,2021-22,True
SX0267,2021-22,True
SX0268,2021-22,False
SX0269,2021-22,True
SX0270,2021-22,True
SX0271,2021-22,True
SX0272,2021-22,True
SX0273,2021-22,True
SX0274,2021-22,True
SX0275,2021-22,True
SX0276,2021-22,True
SX0277,2021-22,True
SX0278,2021-22,True
SX0279,2021-22,True
SX0280,2021-22,True
SX0281,2021-22,True
SX0282,2021-22,True
SX0283,2021-22,True
SX0284,2021-22,True
SX0285,2021-22,False
SX0286,2021-22,True
SX0287,2021-22,False
SX0288,2021-22,True
SX0289,2021-22,True
SX0290,2021-22,True
SX0291,2021-22,True
SX0292,2021-22,True
SX0293,2021-22,True
SX0294,2021-22,True
SX0295,2021-22,False
SX0296,2021-22,True
SX0297,2021-22,True
SX0298,2021-22,True
SX0299,2021-22,True
SX0300,2021-22,True
SX0301,2021-22,False
SX0302,2021-22,True
SX0303,2021-22,False
SX0304,2021-22,False
SX0305,2021-22,True
SX0306,2021-22,False
SX0307,2021-22,True
SX0308,2021-22,True
SX0309,2021-22,True
SX0310,2021-22,True
SX0311,2021-22,True
SX0312,2021-22,True
SX0313,2021-22,False
SX0314,2021-22,True
SX0315,2021-22,True
SX0316,2021-22,True
SX0317,2021-22,False
SX0318,2021-22,False
SX0319,2021-22,True
SX0320,2021-22,True
SX0321,2021-22,True
SX0322,2021-22,True
SX0323,2021-22,True
SX0324,2021-22,True
SX0325,2021-22,True
SX0326,2021-22,True
SX0327,2021-22,True
SX0328,2021-22,True
SX0329,2021-22,True
SX0330,2021-22,True
SX0331,2021-22,True
SX0332,2021-22,True
SX0333,2021-22,True
SX0334,2021-22,True
SX0335,2021-22,True
SX0336,2021-22,False
SX0337,2021-22,True
SX0338,2021-22,True
SX0339,2021-22,False
SX0340,2021-22,True
SX0341,2021-22,True
SX0342,2021-22,False
SX0343,2021-22,True
SX0344,2021-22,True
SX0345,2021-22,True
SX0346,2021-22,False
SX0347,2021-22,True
SX0348,2021-22,True
SX0349,2021-22,True
SX0350,2021-22,True
SX0351,2021-22,True
SX0352,2021-22,True
SX0353,2021-22,True
SX0354,2021-22,False
SX0355,2021-22,False
SX0356,2021-22,True
SX0357,2021-22,True
SX0358,2021-22,True
SX0359,2021-22,True
SX0360,2021-22,True
SX0361,2021-22,True
SX0362,2021-22,True
SX0363,2021-22,True
SX0364,2021-22,True
SX0365,2021-22,True
SX0366,2021-22,True
SX0367,2021-22,True
SX0368,2021-22,True
SX0369,2021-22,True
SX0370,2021-22,True
SX0371,2021-22,False
SX0372,2021-22,True
SX0373,2021-22,True
SX0374,2021-22,True
SX0375,2021-22,True
SX0376,2021-22,True
SX0377,2021-22,True
SX0378,2021-22,False
SX0379,2021-22,True
SX0380,2021-22,True
SX0381,2021-22,True
SX0382,2021-22,True
SX0383,2021-22,True
SX0384,2021-22,True
SX0385,2021-22,True
SX0386,2021-22,False
SX0387,2021-22,True
SX0388,2021-22,True
SX0389,2021-22,True
SX0390,2021-22,True
SX0391,2021-22,True
SX0392,2021-22,True
SX0393,2021-22,True
SX0394,2021-22,True
SX0395,2021-22,False
SX0396,2021-22,True
SX0397,2021-22,True
SX0398,2021-22,True
SX0399,2021-22,True
SX0400,2021-22,True
SX0401,2021-22,True
SX0402,2021-22,True
SX0403,2021-22,True
SX0404,2021-22,True
SX0405,2021-22,True
SX0406,2021-22,True
SX0407,2021-22,True
SX0408,2021-22,True
SX0409,2021-22,False
SX0410,2021-22,True
SX0411,2021-22,False
SX0412,2021-22,False
SX0413,2021-22,True
SX0414,2021-22,True
SX0415,2021-22,True
SX0416,2021-22,True
SX0417,2021-22,True
SX0418,2021-22,False
SX0419,2021-22,True
SX0420,2021-22,True
SX0421,2021-22,True
SX0422,2021-22,True
SX0423,2021-22,True
SX0424,2021-22,True
SX0425,2021-22,True
SX0426,2021-22,True
SX0427,2021-22,True
SX0428,2021-22,False
SX0429,2021-22,False
SX0430,2021-22,True
SX0431,2021-22,True
SX0432,2021-22,True
SX0433,2021-22,True
SX0434,2021-22,True
SX0435,2021-22,False
SX0436,2021-22,False
SX0437,2021-22,True
SX0438,2021-22,False
SX0439,2021-22,True
SX0440,2021-22,True
SX0441,2021-22,True
SX0442,2021-22,True
SX0443,2021-22,True
SX0444,2021-22,True
SX0445,2021-22,True
SX0446,2021-22,True
SX0447,2021-22,True
SX0448,2021-22,False
SX0449,2021-22,True
SX0450,2021-22,True
SX0451,2021-22,True
SX0452,2021-22,True
SX0453,2021-22,True
SX0454,2021-22,False
SX0455,2021-22,True
SX0456,2021-22,True
SX0457,2021-22,True
SX0458,2021-22,True
SX0459,2021-22,True
SX0460,2021-22,True
SX0461,2021-22,True
SX0462,2021-22,True
SX0463,2021-22,True
SX0464,2021-22,True
SX0465,2021-22,False
SX0466,2021-22,True
SX0467,2021-22,True
SX0468,2021-22,True
SX0469,2021-22,True
SX0470,2021-22,False
SX0471,2021-22,True
SX0472,2021-22,True
SX0473,2021-22,False
SX0474,2021-22,True
SX0475,2021-22,True
SX0476,2021-22,True
SX0477,2021-22,True
SX0478,2021-22,True
SX0479,2021-22,True
SX0480,2021-22,True
SX0481,2021-22,False
SX0482,2021-22,True
SX0483,2021-22,True
SX0484,2021-22,True
SX0485,2021-22,True
SX0486,2021-22,True
SX0487,2021-22,False
SX0488,2021-22,True
SX0489,2021-22,True
SX0490,2021-22,True
SX0491,2021-22,False
SX0492,2021-22,True
SX0493,2021-22,True
SX0494,2021-22,True
SX0495,2021-22,False
SX0496,2021-22,True
SX0497,2021-22,True
SX0498,2021-22,True
SX0499,2021-22,True
SX0500,2021-22,True
SX0501,2021-22,True
SX0502,2021-22,True
SX0503,2021-22,True
SX0504,2021-22,False
SX0505,2021-22,True
SX0506,2021-22,True
SX0507,2021-22,True
SX0508,2021-22,True
SX0509,2021-22,True
SX0510,2021-22,True
SX0511,2021-22,True
SX0512,2021-22,True
SX0513,2021-22,True
SX0514,2021-22,True
SX0515,2021-22,True
SX0516,2021-22,True
SX0517,2021-22,True
SX0518,2021-22,True
SX0519,2021-22,True
SX0520,2021-22,True
SX0521,2021-22,True
SX0522,2021-22,True
SX0523,2021-22,True
SX0524,2021-22,True
SX0525,2021-22,True
SX0526,2021-22,True
SX0527,2021-22,True
SX0528,2021-22,True
SX0529,2021-22,False
SX0530,2021-22,True
SX0531,2021-22,True
SX0532,2021-22,True
SX0533,2021-22,True
SX0534,2021-22,True
SX0535,2021-22,True
SX0536,2021-22,True
SX0537,2021-22,True
SX0538,2021-22,True
SX0539,2021-22,True
SX0540,2021-22,True
SX0541,2021-22,True
SX0542,2021-22,False
SX0543,2021-22,True
SX0544,2021-22,True
SX0545,2021-22,True
SX0546,2021-22,False
SX0547,2021-22,True
SX0548,2021-22,True
SX0549,2021-22,True
SX0550,2021-22,True
SX0551,2021-22,False
SX0552,2021-22,True
SX0553,2021-22,True
SX0554,2021-22,True
SX0555,2021-22,True
SX0556,2021-22,True
SX0557,2021-22,True
SX0558,2021-22,True
SX0559,2021-22,False
SX0560,2021-22,False
SX0561,2021-22,True
SX0562,2021-22,True
SX0563,2021-22,True
SX0564,2021-22,True
SX0565,2021-22,True
SX0566,2021-22,True
SX0567,2021-22,True
SX0568,2021-22,True
SX0569,2021-22,False
SX0570,2021-22,True
SX0571,2021-22,True
SX0572,2021-22,True
SX0573,2021-22,False
SX0574,2021-22,False
SX0575,2021-22,True
SX0576,2021-22,False
SX0577,2021-22,True
SX0578,2021-22,True
SX0579,2021-22,False
SX0580,2021-22,True
SX0581,2021-22,True
SX0582,2021-22,True
SX0583,2021-22,True
SX0584,2021-22,True
SX0585,2021-22,True
SX0586,2021-22,True
SX0587,2021-22,True
SX0588,2021-22,True
SX0589,2021-22,True
SX0590,2021-22,False
SX0591,2021-22,False
SX0592,2021-22,False
SX0593,2021-22,True
SX0594,2021-22,False
SX0595,2021-22,True
SX0596,2021-22,True
SX0597,2021-22,False
SX0598,2021-22,True
SX0599,2021-22,True
SX0600,2021-22,False
SX0601,2021-22,True
SX0602,2021-22,True
SX0603,2021-22,True
SX0604,2021-22,True
SX0605,2021-22,True
SX0606,2021-22,False
SX0607,2021-22,True
SX0608,2021-22,True
SX0609,2021-22,True
SX0610,2021-22,False
SX0611,2021-22,True
SX0612,2021-22,True
SX0613,2021-22,False
SX0614,2021-22,True
SX0615,2021-22,True
SX0616,2021-22,True
SX0617,2021-22,True
SX0618,2021-22,True
SX0619,2021-22,True
SX0620,2021-22,True
SX0621,2021-22,True
SX0622,2021-22,True
SX0623,2021-22,True
SX0624,2021-22,True
SX0625,2021-22,True
SX0626,2021-22,False
SX0627,2021-22,True
SX0628,2021-22,True
SX0629,2021-22,False
SX0630,2021-22,False
SX0631,2021-22,True
SX0632,2021-22,False
SX0633,2021-22,True
SX0634,2021-22,True
SX0635,2021-22,True
SX0636,2021-22,False
SX0637,2021-22,True
SX0638,2021-22,True
SX0639,2021-22,True
SX0640,2021-22,True
SX0641,2021-22,True
SX0642,2021-22,True
SX0643,2021-22,True
SX0644,2021-22,True
SX0645,2021-22,True
SX0646,2021-22,True
SX0647,2021-22,False
SX0648,2021-22,True
SX0649,2021-22,True
SX0650,2021-22,False
SX0651,2021-22,False
SX0652,2021-22,True
SX0653,2021-22,False
SX0654,2021-22,True
SX0655,2021-22,True
SX0656,2021-22,True
SX0657,2021-22,True
SX0658,2021-22,True
SX0659,2021-22,True
SX0660,2021-22,True
SX0661,2021-22,False
SX0662,2021-22,False
SX0663,2021-22,False
SX0664,2021-22,True
SX0665,2021-22,True
SX0666,2021-22,True
SX0667,2021-22,True
SX0668,2021-22,True
SX0669,2021-22,True
SX0670,2021-22,True
SX0671,2021-22,True
SX0672,2021-22,True
SX0673,2021-22,True
SX0674,2021-22,True
SX0675,2021-22,False
SX0676,2021-22,True
SX0677,2021-22,True
SX0678,2021-22,False
SX0679,2021-22,True
SX0680,2021-22,False
SX0681,2021-22,True
SX0682,2021-22,True
SX0683,2021-22,False
SX0684,2021-22,True
SX0685,2021-22,True
SX0686,2021-22,True
SX0687,2021-22,False
SX0688,2021-22,True
SX0689,2021-22,True
SX0690,2021-22,True
SX0691,2021-22,True
SX0692,2021-22,True
SX0693,2021-22,True
SX0694,2021-22,False
SX0695,2021-22,True
SX0696,2021-22,False
SX0697,2021-22,True
SX0698,2021-22,True
SX0699,2021-22,True
SX0700,2021-22,False
SX0701,2021-22,True
SX0702,2021-22,True
SX0703,2021-22,True
SX0704,2021-22,True
SX0705,2021-22,True
SX0706,2021-22,True
SX0707,2021-22,True
SX0708,2021-22,False
SX0709,2021-22,True
SX0710,2021-22,True
SX0711,2021-22,True
SX0712,2021-22,True
SX0713,2021-22,True
SX0714,2021-22,True
SX0715,2021-22,True
SX0716,2021-22,False
SX0717,2021-22,False
SX0718,2021-22,False
SX0719,2021-22,True
SX0720,2021-22,True
SX0721,2021-22,True
SX0722,2021-22,True
SX0723,2021-22,False
SX0724,2021-22,True
SX0725,2021-22,True
SX0726,2021-22,True
SX0727,2021-22,True
SX0728,2021-22,True
SX0729,2021-22,True
SX0730,2021-22,True
SX0731,2021-22,True
SX0732,2021-22,True
SX0733,2021-22,True
SX0734,2021-22,True
SX0735,2021-22,False
SX0736,2021-22,True
SX0737,2021-22,True
SX0738,2021-22,True
SX0739,2021-22,True
SX0740,2021-22,True
SX0741,2021-22,True
SX0742,2021-22,True
SX0743,2021-22,True
SX0744,2021-22,True
SX0745,2021-22,True
SX0746,2021-22,True
SX0747,2021-22,True
SX0748,2021-22,True
SX0749,2021-22,True
SX0750,2021-22,True
SX0751,2021-22,True
SX0752,2021-22,True
SX0753,2021-22,False
SX0754,2021-22,True
SX0755,2021-22,True
SX0756,2021-22,False
SX0757,2021-22,False
SX0758,2021-22,True
SX0759,2021-22,True
SX0760,2021-22,False
SX0761,2021-22,True
SX0762,2021-22,True
SX0763,2021-22,False
SX0764,2021-22,True
SX0765,2021-22,True
SX0766,2021-22,False
SX0767,2021-22,True
SX0768,2021-22,False
SX0769,2021-22,False
SX0770,2021-22,True
SX0771,2021-22,True
SX0772,2021-22,True
SX0773,2021-22,True
SX0774,2021-22,True
SX0775,2021-22,False
SX0776,2021-22,True
SX0777,2021-22,True
SX0778,2021-22,True
SX0779,2021-22,True
SX0780,2021-22,True
SX0781,2021-22,True
SX0782,2021-22,True
SX0783,2021-22,True
SX0784,2021-22,True
SX0785,2021-22,True
SX0786,2021-22,True
SX0787,2021-22,True
SX0788,2021-22,True
SX0789,2021-22,True
SX0790,2021-22,True
SX0791,2021-22,True
SX0792,2021-22,True
SX0793,2021-22,True
SX0794,2021-22,True
SX0795,2021-22,False
SX0796,2021-22,True
SX0797,2021-22,True
SX0798,2021-22,True
SX0799,2021-22,True
SX0800,2021-22,True
SX0801,2021-22,False
SX0802,2021-22,False
SX0803,2021-22,True
SX0804,2021-22,True
SX0805,2021-22,True
SX0806,2021-22,True
SX0807,2021-22,True
SX0808,2021-22,True
SX0809,2021-22,True
SX0810,2021-22,True
SX0811,2021-22,True
SX0812,2021-22,True
SX0813,2021-22,False
SX0814,2021-22,True
SX0815,2021-22,True
SX0816,2021-22,True
SX0817,2021-22,True
SX0818,2021-22,True
SX0819,2021-22,False
SX0820,2021-22,True
SX0821,2021-22,True
SX0822,2021-22,True
SX0823,2021-22,True
SX0824,2021-22,False
SX0825,2021-22,True
SX0826,2021-22,True
SX0827,2021-22,True
SX0828,2021-22,True
SX0829,2021-22,True
SX0830,2021-22,True
SX0831,2021-22,True
SX0832,2021-22,True
SX0833,2021-22,True
SX0834,2021-22,True
SX0835,2021-22,True
SX0836,2021-22,True
SX0837,2021-22,True
SX0838,2021-22,True
SX0839,2021-22,True
SX0840,2021-22,True
SX0841,2021-22,True
SX0842,2021-22,True
SX0843,2021-22,True
SX0844,2021-22,False
SX0845,2021-22,True
SX0846,2021-22,True
SX0847,2021-22,True
SX0848,2021-22,False
SX0849,2021-22,True
SX0850,2021-22,False
SX0851,2021-22,True
SX0852,2021-22,True
SX0853,2021-22,True
SX0854,2021-22,True
SX0855,2021-22,True
SX0856,2021-22,False
SX0857,2021-22,True
SX0858,2021-22,True
SX0859,2021-22,True
SX0860,2021-22,True
SX0861,2021-22,True
SX0862,2021-22,False
SX0863,2021-22,True
SX0864,2021-22,True
SX0865,2021-22,True
SX0866,2021-22,True
SX0867,2021-22,True
SX0868,2021-22,True
SX0869,2021-22,True
SX0870,2021-22,True
SX0871,2021-22,True
SX0872,2021-22,True
SX0873,2021-22,True
SX0874,2021-22,True
SX0875,2021-22,True
SX0876,2021-22,True
SX0877,2021-22,True
SX0878,2021-22,True
SX0879,2021-22,True
SX0880,2021-22,True
SX0881,2021-22,True
SX0882,2021-22,True
SX0883,2021-22,True
SX0884,2021-22,False
SX0885,2021-22,True
SX0886,2021-22,True
SX0887,2021-22,True
SX0888,2021-22,True
SX0889,2021-22,True
SX0890,2021-22,True
SX0891,2021-22,True
SX0892,2021-22,True
SX0893,2021-22,True
SX0894,2021-22,True
SX0895,2021-22,False
SX0896,2021-22,True
SX0897,2021-22,True
SX0898,2021-22,True
SX0899,2021-22,True
SX0900,2021-22,True
SX0901,2021-22,True
SX0902,2021-22,True
SX0903,2021-22,True
SX0904,2021-22,True
SX0905,2021-22,False
SX0906,2021-22,True
SX0907,2021-22,True
SX0908,2021-22,False
SX0909,2021-22,False
SX0910,2021-22,False
SX0911,2021-22,True
SX0912,2021-22,True
SX0913,2021-22,True
SX0914,2021-22,True
SX0915,2021-22,True
SX0916,2021-22,True
SX0917,2021-22,False
SX0918,2021-22,False
SX0919,2021-22,True
SX0920,2021-22,True
SX0921,2021-22,True
SX0922,2021-22,True
SX0923,2021-22,False
SX0924,2021-22,True
SX0925,2021-22,True
SX0926,2021-22,True
SX0927,2021-22,False
SX0928,2021-22,False
SX0929,2021-22,True
SX0930,2021-22,True
SX0931,2021-22,True
SX0932,2021-22,True
SX0933,2021-22,True
SX0934,2021-22,True
SX0935,2021-22,False
SX0936,2021-22,False
SX0937,2021-22,True
SX0938,2021-22,True
SX0939,2021-22,False
SX0940,2021-22,True
SX0941,2021-22,True
SX0942,2021-22,True
SX0943,2021-22,True
SX0944,2021-22,False
SX0945,2021-22,False
SX0946,2021-22,False
SX0947,2021-22,True
SX0948,2021-22,True
SX0949,2021-22,False
SX0950,2021-22,False
SX0951,2021-22,True
SX0952,2021-22,True
SX0953,2021-22,True
SX0954,2021-22,True
SX0955,2021-22,True
SX0956,2021-22,True
SX0957,2021-22,True
SX0958,2021-22,True
SX0959,2021-22,True
SX0960,2021-22,True
SX0961,2021-22,True
SX0962,2021-22,False
SX0963,2021-22,True
SX0964,2021-22,True
SX0965,2021-22,True
SX0966,2021-22,True
SX0967,2021-22,True
SX0968,2021-22,True
SX0969,2021-22,True
SX0970,2021-22,True
SX0971,2021-22,True
SX0972,2021-22,True
SX0973,2021-22,True
SX0974,2021-22,False
SX0975,2021-22,True
SX0976,2021-22,True
SX0977,2021-22,True
SX0978,2021-22,True
SX0979,2021-22,True
SX0980,2021-22,True
SX0981,2021-22,True
SX0982,2021-22,False
SX0983,2021-22,True
SX0984,2021-22,True
SX0985,2021-22,True
SX0986,2021-22,True
SX0987,2021-22,True
SX0988,2021-22,True
SX0989,2021-22,True
SX0990,2021-22,False
SX0331,2022-23,True
SX0332,2022-23,True
SX0333,2022-23,True
SX0334,2022-23,True
SX0335,2022-23,True
SX0336,2022-23,True
SX0337,2022-23,True
SX0338,2022-23,True
SX0339,2022-23,True
SX0340,2022-23,True
SX0341,2022-23,True
SX0342,2022-23,False
SX0343,2022-23,True
SX0344,2022-23,False
SX0345,2022-23,True
SX0346,2022-23,True
SX0347,2022-23,True
SX0348,2022-23,True
SX0349,2022-23,True
SX0350,2022-23,False
SX0351,2022-23,True
SX0352,2022-23,True
SX0353,2022-23,True
SX0354,2022-23,False
SX0355,2022-23,True
SX0356,2022-23,False
SX0357,2022-23,True
SX0358,2022-23,True
SX0359,2022-23,False
SX0360,2022-23,True
SX0361,2022-23,True
SX0362,2022-23,True
SX0363,2022-23,True
SX0364,2022-23,True
SX0365,2022-23,True
SX0366,2022-23,True
SX0367,2022-23,True
SX0368,2022-23,True
SX0369,2022-23,True
SX0370,2022-23,True
SX0371,2022-23,False
SX0372,2022-23,False
SX0373,2022-23,True
SX0374,2022-23,True
SX0375,2022-23,True
SX0376,2022-23,True
SX0377,2022-23,True
SX0378,2022-23,True
SX0379,2022-23,True
SX0380,2022-23,True
SX0381,2022-23,True
SX0382,2022-23,True
SX0383,2022-23,True
SX0384,2022-23,False
SX0385,2022-23,True
SX0386,2022-23,False
SX0387,2022-23,True
SX0388,2022-23,True
SX0389,2022-23,True
SX0390,2022-23,True
SX0391,2022-23,True
SX0392,2022-23,True
SX0393,2022-23,True
SX0394,2022-23,True
SX0395,2022-23,True
SX0396,2022-23,True
SX0397,2022-23,True
SX0398,2022-23,True
SX0399,2022-23,False
SX0400,2022-23,True
SX0401,2022-23,True
SX0402,2022-23,True
SX0403,2022-23,True
SX0404,2022-23,True
SX0405,2022-23,True
SX0406,2022-23,True
SX0407,2022-23,True
SX0408,2022-23,True
SX0409,2022-23,True
SX0410,2022-23,True
SX0411,2022-23,True
SX0412,2022-23,True
SX0413,2022-23,True
SX0414,2022-23,True
SX0415,2022-23,True
SX0416,2022-23,False
SX0417,2022-23,True
SX0418,2022-23,True
SX0419,2022-23,True
SX0420,2022-23,False
SX0421,2022-23,True
SX0422,2022-23,True
SX0423,2022-23,True
SX0424,2022-23,False
SX0425,2022-23,True
SX0426,2022-23,True
SX0427,2022-23,True
SX0428,2022-23,True
SX0429,2022-23,True
SX0430,2022-23,True
SX0431,2022-23,True
SX0432,2022-23,True
SX0433,2022-23,True
SX0434,2022-23,False
SX0435,2022-23,True
SX0436,2022-23,True
SX0437,2022-23,True
SX0438,2022-23,True
SX0439,2022-23,False
SX0440,2022-23,True
SX0441,2022-23,True
SX0442,2022-23,True
SX0443,2022-23,True
SX0444,2022-23,True
SX0445,2022-23,True
SX0446,2022-23,True
SX0447,2022-23,True
SX0448,2022-23,False
SX0449,2022-23,True
SX0450,2022-23,True
SX0451,2022-23,True
SX0452,2022-23,True
SX0453,2022-23,True
SX0454,2022-23,True
SX0455,2022-23,False
SX0456,2022-23,True
SX0457,2022-23,False
SX0458,2022-23,True
SX0459,2022-23,True
SX0460,2022-23,True
SX0461,2022-23,True
SX0462,2022-23,True
SX0463,2022-23,True
SX0464,2022-23,True
SX0465,2022-23,True
SX0466,2022-23,False
SX0467,2022-23,True
SX0468,2022-23,False
SX0469,2022-23,True
SX0470,2022-23,True
SX0471,2022-23,True
SX0472,2022-23,False
SX0473,2022-23,True
SX0474,2022-23,True
SX0475,2022-23,True
SX0476,2022-23,True
SX0477,2022-23,False
SX0478,2022-23,True
SX0479,2022-23,True
SX0480,2022-23,False
SX0481,2022-23,True
SX0482,2022-23,True
SX0483,2022-23,False
SX0484,2022-23,True
SX0485,2022-23,True
SX0486,2022-23,True
SX0487,2022-23,True
SX0488,2022-23,True
SX0489,2022-23,False
SX0490,2022-23,True
SX0491,2022-23,True
SX0492,2022-23,True
SX0493,2022-23,True
SX0494,2022-23,True
SX0495,2022-23,True
SX0496,2022-23,True
SX0497,2022-23,True
SX0498,2022-23,True
SX0499,2022-23,True
SX0500,2022-23,True
SX0501,2022-23,True
SX0502,2022-23,True
SX0503,2022-23,False
SX0504,2022-23,True
