Feedback_ID,Faculty_ID,Course_ID,Date,Communication,Subject_Knowledge,Interaction,Doubt_Resolution,Syllabus_Completion,Practical_Example
FB000075,F027,C027,2021-11-10,1,3,4,2,3,2
FB000076,F017,C004,2021-11-10,4,3,1,2,4,4
FB000077,F028,C039,2021-11-10,3,4,2,3,4,3
FB000078,F037,C014,2021-11-10,4,2,3,4,4,4
FB000079,F032,C054,2021-11-10,5,5,4,4,3,4
FB000080,F051,C047,2021-11-10,4,4,3,4,4,4
FB000081,F044,C035,2021-11-10,5,3,2,2,5,4
FB000082,F006,C053,2021-11-10,4,5,4,4,5,3
FB000083,F015,C015,2021-11-10,5,4,5,4,4,5
FB000084,F030,C030,2021-11-11,4,3,2,3,2,3
FB000085,F005,C005,2021-11-11,3,3,3,4,4,2
FB000086,F070,C061,2021-11-11,3,1,2,2,4,1
FB000087,F017,C004,2021-11-11,4,2,2,2,4,4
FB000088,F019,C075,2021-11-11,2,3,3,2,2,3
FB000089,F060,C083,2021-11-11,4,4,4,4,3,4
FB000090,F056,C065,2021-11-11,3,1,3,4,1,4
FB000091,F019,C075,2021-11-11,4,4,3,2,2,4
FB000092,F067,C086,2021-11-11,2,3,4,3,3,3
FB000093,F073,C018,2021-11-11,4,4,3,3,3,2
FB000094,F059,C079,2021-11-11,2,3,2,2,3,3
FB000095,F052,C050,2021-11-11,3,2,3,5,5,2
FB000096,F011,C011,2021-11-11,4,4,3,5,4,3
FB000097,F019,C019,2021-11-11,3,3,4,3,4,3
FB000098,F009,C009,2021-11-11,3,4,3,5,3,3
FB000099,F046,C041,2021-11-11,4,4,2,3,3,3
FB000100,F053,C068,2021-11-11,4,4,3,5,3,3
FB000101,F013,C033,2021-11-11,4,3,4,3,3,4
FB000102,F010,C051,2021-11-11,2,2,2,2,3,3
FB000103,F019,C019,2021-11-11,3,5,4,5,3,4
FB000104,F033,C055,2021-11-11,3,2,1,3,2,2
FB000105,F056,C071,2021-11-11,5,5,3,4,5,5
FB000106,F005,C005,2021-11-11,4,3,4,5,3,5
FB000107,F063,C077,2021-11-11,4,4,4,4,5,5
FB000108,F009,C009,2021-11-11,4,5,3,3,3,4
FB000109,F001,C001,2021-11-11,3,4,2,3,3,2
FB000110,F037,C014,2021-11-11,5,5,4,3,3,4
FB000111,F033,C057,2021-11-11,2,4,3,3,4,4
FB000112,F020,C029,2021-11-11,2,3,2,2,4,3
FB000113,F022,C064,2021-11-11,3,4,4,5,5,3
FB000114,F056,C071,2021-11-11,4,4,4,4,3,4
FB000115,F061,C081,2021-11-11,4,3,3,3,3,3
FB000116,F064,C089,2021-11-11,2,3,2,3,1,2
FB000117,F046,C041,2021-11-11,4,5,4,3,4,3
FB000118,F052,C049,2021-11-11,4,3,2,5,5,5
FB000119,F056,C065,2021-11-11,2,3,2,2,3,2
FB000120,F028,C039,2021-11-11,2,3,2,1,3,3
FB000121,F047,C048,2021-11-11,3,4,3,1,3,1
FB000122,F022,C022,2021-11-11,2,3,3,4,5,3
FB000123,F028,C039,2021-11-11,3,3,4,3,4,5
FB000124,F019,C075,2021-11-11,1,1,1,1,3,2
FB000125,F063,C077,2021-11-11,1,2,3,2,1,1
FB000126,F020,C020,2021-11-11,3,5,2,4,4,3
FB000127,F022,C064,2021-11-11,3,4,3,3,3,2
FB000128,F074,C073,2021-11-11,3,4,3,2,4,3
FB000129,F065,C090,2021-11-11,3,4,4,4,4,3
FB000130,F052,C050,2021-11-11,5,3,3,4,4,4
FB000131,F041,C037,2021-11-11,4,4,5,4,5,5
FB000132,F062,C080,2021-11-11,5,4,2,3,3,4
FB000133,F064,C085,2021-11-11,4,4,3,4,4,2
FB000134,F043,C036,2021-11-11,5,5,3,3,4,5
FB000135,F011,C056,2021-11-11,3,3,4,2,2,3
FB000136,F005,C074,2021-11-11,4,4,4,5,2,4
FB000137,F062,C080,2021-11-11,3,5,4,5,4,4
FB000138,F041,C042,2021-11-11,5,3,4,4,5,4
FB000139,F055,C070,2021-11-11,5,4,5,4,5,3
FB000140,F019,C075,2021-11-11,4,4,3,3,4,4
FB000141,F022,C064,2021-11-11,2,5,4,4,5,4
FB000142,F043,C036,2021-11-11,3,5,3,5,5,4
FB000143,F013,C033,2021-11-11,4,3,3,4,4,3
FB000144,F047,C048,2021-11-11,4,4,4,4,5,4
FB000145,F019,C019,2021-11-11,4,4,3,4,3,2
FB000146,F021,C021,2021-11-11,4,4,5,5,4,3
FB000147,F020,C029,2021-11-11,5,4,5,5,5,5
FB000148,F032,C054,2021-11-11,4,4,3,5,4,3
FB000149,F031,C031,2021-11-11,3,3,3,2,2,3
FB000150,F041,C042,2021-11-11,3,5,3,5,4,2
FB000151,F013,C033,2021-11-11,4,4,4,2,4,3
FB000152,F069,C060,2021-11-11,4,4,4,2,3,2
FB000153,F058,C069,2021-11-11,4,5,1,3,4,3
FB000154,F024,C024,2021-11-11,4,5,3,3,4,5
FB000155,F028,C040,2021-11-11,2,4,4,3,5,3
FB000156,F006,C006,2021-11-11,2,3,4,3,4,3
FB000157,F070,C061,2021-11-11,5,4,4,4,5,5
FB000158,F065,C091,2021-11-11,2,5,4,4,4,2
FB000159,F065,C090,2021-11-11,5,4,4,5,5,3
FB000160,F052,C049,2021-11-11,4,5,3,3,3,4
FB000161,F013,C033,2021-11-11,4,5,5,4,5,4
FB000162,F059,C078,2021-11-11,3,4,2,3,3,1
FB000163,F067,C086,2021-11-11,3,4,5,2,3,4
FB000164,F017,C058,2021-11-12,4,3,4,5,2,3
FB000165,F009,C009,2021-11-12,4,4,4,4,4,4
FB000166,F059,C079,2021-11-12,3,3,1,2,4,2
FB000167,F053,C068,2021-11-12,3,1,2,3,3,5
FB000168,F059,C078,2021-11-12,4,4,3,4,2,3
FB000169,F073,C018,2021-11-12,3,2,3,3,3,1
FB000170,F052,C046,2021-11-12,4,3,3,5,4,3
FB000171,F052,C049,2021-11-12,5,4,2,4,4,2
FB000172,F041,C042,2021-11-12,5,3,4,2,4,4
FB000173,F067,C086,2021-11-12,3,4,2,2,3,1
FB000174,F020,C020,2021-11-12,3,4,5,2,4,3
FB000175,F056,C065,2021-11-12,3,4,4,4,3,2
FB000176,F020,C029,2021-11-12,3,4,3,3,3,3
FB000177,F006,C053,2021-11-12,4,3,4,4,5,3
FB000178,F025,C052,2021-11-12,4,5,4,4,5,4
FB000179,F041,C042,2021-11-12,3,5,5,5,4,4
FB000180,F070,C063,2021-11-12,3,3,2,2,2,3
FB000181,F070,C063,2021-11-12,3,3,4,2,5,4
FB000182,F010,C051,2021-11-12,1,2,2,2,3,1
FB000183,F074,C073,2021-11-12,2,4,1,1,2,2
FB000184,F028,C040,2021-11-12,2,5,3,3,3,3
FB000185,F041,C038,2021-11-12,3,4,4,4,2,4
FB000186,F037,C014,2021-11-12,5,4,3,4,4,4
FB000187,F032,C054,2021-11-12,2,1,3,4,4,4
FB000188,F041,C038,2021-11-12,4,4,4,5,4,5
FB000189,F065,C091,2021-11-12,2,2,3,3,4,3
FB000190,F062,C080,2021-11-12,1,4,3,3,2,4
FB000191,F013,C033,2021-11-12,3,4,3,3,3,4
FB000192,F010,C010,2021-11-12,3,4,5,5,4,4
FB000193,F051,C044,2021-11-12,4,4,3,3,3,3
FB000194,F033,C055,2021-11-12,4,5,3,4,2,4
FB000195,F052,C046,2021-11-12,3,2,4,4,3,4
FB000196,F033,C055,2021-11-12,1,3,3,2,2,2
FB000197,F065,C091,2021-11-12,5,4,3,3,4,4
FB000198,F002,C002,2021-11-12,4,4,4,4,4,3
FB000199,F055,C072,2021-11-12,4,4,3,4,5,5
FB000200,F022,C022,2021-11-12,3,5,3,4,4,2
FB000201,F074,C073,2021-11-12,4,5,4,4,3,4
FB000202,F013,C033,2021-11-12,4,5,3,4,5,5
FB000203,F019,C075,2021-11-12,5,3,4,3,3,3
FB000204,F065,C090,2021-11-12,5,3,3,3,3,4
FB000205,F058,C069,2021-11-12,4,4,2,4,4,2
FB000206,F052,C043,2021-11-12,3,4,4,3,3,2
FB000207,F053,C068,2021-11-12,4,4,5,5,2,3
FB000208,F009,C009,2021-11-12,5,4,4,3,4,3
FB000209,F053,C067,2021-11-12,3,2,4,5,2,2
FB000210,F028,C040,2021-11-12,4,5,4,3,4,4
FB000211,F067,C086,2021-11-12,2,5,4,3,4,4
FB000212,F065,C090,2021-11-12,5,4,4,2,3,3
FB000213,F024,C024,2021-11-12,3,3,2,3,3,4
FB000214,F022,C022,2021-11-12,2,4,4,4,5,4
FB000215,F001,C001,2021-11-12,3,3,4,3,2,3
FB000216,F064,C084,2021-11-12,5,5,3,4,2,4
FB000217,F060,C083,2021-11-12,2,4,2,3,4,4
FB000218,F056,C071,2021-11-12,4,5,3,3,5,3
FB000219,F027,C027,2021-11-12,4,4,4,5,5,4
FB000220,F044,C035,2021-11-12,5,5,5,4,3,3
FB000221,F052,C046,2021-11-12,4,4,2,4,3,3
FB000222,F051,C047,2021-11-12,5,4,5,4,3,4
FB000223,F053,C067,2021-11-12,3,5,4,5,2,3
FB000224,F031,C031,2021-11-13,3,3,4,2,4,4
FB000225,F060,C083,2021-11-13,3,5,4,3,5,4
FB000226,F008,C008,2021-11-13,2,2,3,2,5,4
FB000227,F017,C017,2021-11-13,3,3,3,3,3,3
FB000228,F001,C001,2021-11-13,4,3,4,5,3,2
FB000229,F058,C066,2021-11-13,2,3,2,2,2,5
FB000230,F030,C030,2021-11-13,4,5,4,3,2,4
FB000231,F053,C068,2021-11-13,2,3,1,3,3,1
FB000232,F052,C049,2021-11-13,3,4,3,2,4,4
FB000233,F074,C073,2021-11-13,3,3,2,3,3,4
FB000234,F046,C041,2021-11-13,4,3,3,4,4,5
FB000235,F061,C081,2021-11-13,4,3,3,4,5,3
FB000236,F070,C062,2021-11-13,3,2,2,2,2,2
FB000237,F051,C044,2021-11-13,2,3,3,2,2,2
FB000238,F016,C016,2021-11-13,3,5,4,4,3,2
FB000239,F055,C070,2021-11-13,3,4,3,3,2,3
FB000240,F047,C048,2021-11-13,2,2,1,1,2,1
FB000241,F059,C082,2021-11-13,3,3,3,4,4,4
FB000242,F010,C010,2021-11-13,4,4,4,3,4,2
FB000243,F059,C082,2021-11-13,3,4,4,4,4,4
FB000244,F061,C081,2021-11-13,2,3,3,3,1,4
FB000245,F031,C032,2021-11-13,4,5,2,2,4,2
FB000246,F056,C065,2021-11-13,5,3,1,2,2,2
FB000247,F002,C002,2021-11-13,5,4,5,4,3,2
FB000248,F005,C005,2021-11-13,5,5,5,5,4,5
FB000249,F003,C003,2021-11-13,2,4,4,5,5,4
FB000250,F024,C024,2021-11-13,2,2,4,3,2,2
FB000251,F062,C080,2021-11-13,2,4,2,3,4,5
FB000252,F013,C034,2021-11-13,4,3,2,3,4,1
FB000253,F022,C022,2021-11-13,2,3,4,4,3,4
FB000254,F010,C010,2021-11-13,3,4,1,2,3,2
FB000255,F073,C018,2021-11-13,5,4,4,4,4,5
FB000256,F027,C027,2021-11-13,4,3,3,5,4,5
FB000257,F022,C064,2021-11-13,5,3,5,2,2,4
FB000258,F059,C079,2021-11-13,1,3,2,3,3,2
FB000259,F058,C069,2021-11-13,5,2,3,4,3,3
FB000260,F006,C006,2021-11-13,4,5,2,2,5,3
FB000261,F065,C090,2021-11-13,3,4,3,3,5,3
FB000262,F020,C020,2021-11-13,2,3,2,3,3,4
FB000263,F001,C001,2021-11-13,4,4,4,3,5,2
FB000264,F005,C074,2021-11-13,4,3,4,3,4,4
FB000265,F006,C006,2021-11-13,3,3,4,4,4,5
FB000266,F007,C007,2021-11-13,3,3,3,5,4,4
FB000267,F059,C079,2021-11-13,1,2,3,3,3,2
FB000268,F007,C007,2021-11-13,2,3,2,4,3,3
FB000269,F063,C077,2021-11-13,4,3,4,3,3,4
FB000270,F055,C070,2021-11-13,5,5,3,4,5,4
FB000271,F006,C053,2021-11-13,5,3,3,3,2,4
FB000272,F073,C018,2021-11-13,3,2,2,4,4,2
FB000273,F051,C047,2021-11-13,1,3,3,1,3,2
FB000274,F064,C085,2021-11-13,3,2,2,3,4,3
FB000275,F007,C007,2021-11-13,1,4,3,3,4,4
FB000276,F041,C042,2021-11-13,5,4,5,3,3,4
FB000277,F047,C048,2021-11-13,2,3,4,3,2,3
FB000278,F064,C089,2021-11-13,3,4,4,3,5,4
FB000279,F041,C042,2021-11-13,3,3,2,3,5,3
FB000280,F027,C027,2021-11-13,2,3,3,2,3,1
FB000281,F044,C035,2021-11-13,3,3,4,4,5,3
FB000282,F067,C088,2021-11-13,2,4,3,3,5,3
FB000283,F070,C062,2021-11-13,1,4,4,2,3,3
FB000284,F013,C034,2021-11-13,2,5,1,4,5,4
FB000285,F065,C091,2021-11-13,3,5,3,2,4,3
FB000286,F032,C054,2021-11-13,3,5,2,5,3,5
FB000287,F074,C073,2021-11-13,3,3,4,4,3,5
FB000288,F022,C064,2021-11-13,3,4,2,4,4,3
FB000289,F013,C034,2021-11-13,4,5,3,3,3,4
FB000290,F073,C018,2021-11-13,4,4,4,4,3,4
FB000291,F041,C037,2021-11-13,3,1,3,3,3,4
FB000292,F043,C036,2021-11-13,4,4,5,3,3,3
FB000293,F073,C018,2021-11-13,5,4,3,2,3,3
FB000294,F013,C034,2021-11-13,5,5,5,3,5,4
FB000295,F064,C085,2021-11-13,5,5,5,4,4,5
FB000296,F020,C029,2021-11-13,1,3,2,4,3,3
FB000297,F024,C024,2021-11-13,3,3,4,3,1,2
FB000298,F041,C042,2021-11-13,4,4,5,5,3,4
FB000299,F041,C037,2021-11-13,3,3,1,3,4,2
FB000300,F009,C009,2021-11-13,5,5,5,4,3,5
FB000301,F067,C086,2021-11-13,1,4,3,3,3,4
FB000302,F024,C024,2021-11-13,3,3,2,2,3,3
FB000303,F021,C021,2021-11-13,4,2,4,4,4,4
FB000304,F064,C084,2021-11-13,4,4,3,4,5,2
FB000305,F013,C013,2021-11-14,2,2,2,3,3,3
FB000306,F037,C014,2021-11-14,4,3,2,3,4,3
FB000307,F070,C063,2021-11-14,3,3,2,3,3,3
FB000308,F059,C082,2021-11-14,3,2,3,4,3,3
FB000309,F059,C082,2021-11-14,5,2,2,3,3,2
FB000310,F053,C068,2021-11-14,2,3,3,3,3,4
FB000311,F002,C002,2021-11-14,2,2,2,2,2,3
FB000312,F059,C078,2021-11-14,2,3,3,2,3,1
FB000313,F062,C080,2021-11-14,3,3,2,4,3,2
FB000314,F059,C078,2021-11-14,2,3,3,3,2,5
FB000315,F005,C074,2021-11-14,2,3,3,2,3,3
FB000316,F013,C034,2021-11-14,3,2,1,4,2,4
FB000317,F047,C048,2021-11-14,3,5,2,4,4,4
FB000318,F016,C016,2021-11-14,3,3,3,3,3,3
FB000319,F017,C017,2021-11-14,3,3,2,4,4,4
FB000320,F059,C079,2021-11-14,3,3,3,3,4,2
FB000321,F051,C044,2021-11-14,1,3,1,3,3,1
FB000322,F056,C065,2021-11-14,3,2,2,3,4,1
FB000323,F006,C053,2021-11-14,3,3,3,4,4,4
FB000324,F030,C030,2021-11-14,2,4,3,4,3,4
FB000325,F041,C038,2021-11-14,3,4,1,3,4,3
FB000326,F011,C056,2021-11-14,4,5,3,5,5,4
FB000327,F001,C001,2021-11-14,3,5,4,4,4,4
FB000328,F041,C042,2021-11-14,5,4,4,4,2,3
FB000329,F065,C091,2021-11-14,4,4,3,5,4,4
FB000330,F010,C010,2021-11-14,4,3,5,3,5,5
FB000331,F059,C078,2021-11-14,3,4,4,2,5,1
FB000332,F069,C060,2021-11-14,4,4,2,3,3,4
FB000333,F013,C013,2021-11-14,5,5,5,4,5,4
FB000334,F019,C019,2021-11-14,3,4,2,5,3,2
FB000335,F013,C013,2021-11-14,2,2,4,3,3,3
FB000336,F059,C082,2021-11-14,4,4,5,4,5,4
FB000337,F013,C013,2021-11-14,5,5,5,5,5,5
FB000338,F053,C067,2021-11-14,2,2,2,3,4,3
FB000339,F041,C042,2021-11-14,3,2,3,3,3,3
FB000340,F025,C052,2021-11-14,3,4,3,5,4,2
FB000341,F067,C088,2021-11-14,4,4,3,4,2,2
FB000342,F011,C056,2021-11-14,2,4,4,2,2,2
FB000343,F058,C069,2021-11-14,3,3,3,4,3,2
FB000344,F019,C019,2021-11-14,5,4,2,2,4,3
FB000345,F020,C029,2021-11-14,4,4,4,5,4,3
FB000346,F060,C083,2021-11-14,3,4,4,5,2,4
FB000347,F067,C088,2021-11-14,2,3,2,4,3,2
FB000348,F046,C041,2021-11-14,3,3,3,4,3,2
FB000349,F022,C064,2021-11-14,4,4,4,4,5,5
FB000350,F052,C050,2021-11-14,4,5,5,4,5,3
FB000351,F019,C019,2021-11-14,4,5,4,4,5,4
FB000352,F020,C020,2021-11-14,5,2,2,3,4,2
FB000353,F024,C024,2021-11-14,2,2,3,1,4,2
FB000354,F074,C073,2021-11-14,5,5,3,4,3,3
FB000355,F027,C027,2021-11-14,4,5,2,2,4,3
FB000356,F001,C001,2021-11-15,4,5,3,4,4,4
FB000357,F059,C078,2021-11-15,4,4,3,3,3,3
FB000358,F051,C047,2021-11-15,5,5,4,4,5,5
FB000359,F009,C009,2021-11-15,4,3,3,4,3,4
FB000360,F017,C017,2021-11-15,3,3,1,4,5,3
FB000361,F046,C041,2021-11-15,4,2,4,4,2,3
FB000362,F019,C075,2021-11-15,4,3,3,4,2,2
FB000363,F030,C030,2021-11-15,2,4,2,2,4,3
FB000364,F055,C072,2021-11-15,1,4,3,4,4,3
FB000365,F064,C084,2021-11-15,2,1,3,3,2,2
FB000366,F051,C044,2021-11-15,2,5,4,5,5,5
FB000367,F052,C050,2021-11-15,2,4,3,3,3,3
FB000368,F041,C037,2021-11-15,4,3,4,4,3,2
FB000369,F070,C062,2021-11-15,4,4,4,4,4,3
FB000370,F037,C014,2021-11-15,5,5,3,5,3,4
FB000371,F025,C052,2021-11-15,4,4,4,2,3,4
FB000372,F017,C017,2021-11-15,4,4,4,3,3,3
FB000373,F047,C048,2021-11-15,4,3,3,3,3,3
FB000374,F013,C033,2021-11-15,4,3,3,3,2,4
FB000375,F015,C015,2021-11-15,4,3,3,4,3,2
FB000376,F047,C048,2021-11-15,4,4,5,4,4,5
FB000377,F017,C004,2021-11-15,4,3,4,4,2,3
FB000378,F065,C091,2021-11-15,5,4,3,4,5,3
FB000379,F028,C040,2021-11-15,3,4,2,4,1,3
FB000380,F058,C066,2021-11-15,5,3,4,5,4,5
FB000381,F055,C070,2021-11-15,3,2,2,2,3,2
FB000382,F047,C048,2021-11-15,3,4,5,3,4,3
FB000383,F011,C011,2021-11-15,2,3,4,4,4,4
FB000384,F064,C089,2021-11-15,3,3,4,3,3,2
FB000385,F037,C014,2021-11-15,4,5,3,4,5,3
FB000386,F019,C075,2021-11-15,2,2,1,3,2,2
FB000387,F060,C083,2021-11-15,3,4,5,4,4,4
FB000388,F006,C053,2021-11-15,4,3,4,4,4,4
FB000389,F064,C087,2021-11-15,3,2,1,3,3,3
FB000390,F058,C066,2021-11-15,4,4,3,3,4,3
FB000391,F017,C058,2021-11-15,3,3,3,1,3,2
FB000392,F027,C027,2021-11-15,3,4,2,2,4,4
FB000393,F002,C002,2021-11-15,4,3,4,3,4,5
FB000394,F030,C030,2021-11-15,3,5,4,4,3,3
FB000395,F052,C043,2021-11-15,3,3,3,2,3,1
FB000396,F065,C091,2021-11-15,3,4,4,3,5,5
FB000397,F022,C022,2021-11-15,4,5,2,3,4,5
FB000398,F052,C049,2021-11-15,4,3,5,4,3,2
FB000399,F011,C056,2021-11-15,2,1,4,3,3,3
FB000400,F059,C078,2021-11-15,4,3,4,3,4,4
FB000401,F030,C076,2021-11-15,2,4,4,4,3,4
FB000402,F017,C017,2021-11-15,3,3,3,2,5,2
FB000403,F032,C054,2021-11-15,3,4,3,5,4,3
FB000404,F010,C010,2021-11-15,4,5,5,5,4,2
FB000405,F065,C090,2021-11-15,5,5,5,3,2,5
FB000406,F020,C020,2021-11-15,4,4,4,5,4,4
FB000407,F059,C082,2021-11-15,2,4,4,4,3,4
FB000408,F059,C082,2021-11-15,5,5,5,3,5,4
FB000409,F052,C049,2021-11-15,4,3,3,2,4,4
FB000410,F037,C014,2021-11-15,4,4,3,4,3,3
FB000411,F022,C022,2021-11-15,4,5,4,4,4,4
FB000412,F074,C073,2021-11-15,5,5,4,4,5,3
FB000413,F064,C084,2021-11-15,4,4,4,3,3,4
FB000414,F064,C087,2021-11-15,3,3,2,2,4,2
FB000415,F052,C050,2021-11-15,3,3,4,3,4,3
FB000416,F028,C039,2021-11-15,2,4,1,2,2,2
FB000417,F012,C012,2021-11-15,5,4,4,3,4,2
FB000418,F003,C003,2021-11-15,4,4,3,5,2,3
FB000419,F055,C070,2021-11-15,3,3,2,3,3,1
FB000420,F020,C020,2021-11-15,5,4,5,4,4,4
FB000421,F053,C068,2021-11-15,1,2,3,3,4,1
FB000422,F064,C084,2021-11-15,2,5,3,2,4,4
FB000423,F064,C089,2021-11-15,3,3,2,3,2,2
FB000424,F065,C091,2021-11-15,2,4,2,4,5,3
FB000425,F067,C088,2021-11-15,5,4,3,2,2,2
FB000426,F064,C089,2021-11-15,3,3,3,3,3,3
FB000427,F001,C001,2021-11-15,3,3,5,2,5,4
FB000428,F064,C089,2021-11-15,2,3,2,4,4,3
FB000429,F052,C046,2021-11-15,2,4,4,4,4,2
FB000430,F010,C010,2021-11-15,5,4,3,3,5,5
FB000431,F033,C055,2021-11-16,3,3,3,2,4,5
FB000432,F064,C089,2021-11-16,3,2,1,3,2,3
FB000433,F053,C068,2021-11-16,4,4,2,2,3,4
FB000434,F037,C014,2021-11-16,4,3,3,3,3,3
FB000435,F006,C006,2021-11-16,4,3,3,5,5,2
FB000436,F065,C090,2021-11-16,3,5,3,5,4,4
FB000437,F063,C077,2021-11-16,1,3,3,4,3,4
FB000438,F028,C039,2021-11-16,3,2,2,2,3,2
FB000439,F051,C044,2021-11-16,5,4,5,3,5,3
FB000440,F010,C010,2021-11-16,3,2,2,3,4,2
FB000441,F041,C038,2021-11-16,3,4,4,3,4,3
FB000442,F003,C003,2021-11-16,3,4,3,3,5,2
FB000443,F052,C049,2021-11-16,3,5,3,3,4,3
FB000444,F022,C064,2021-11-16,2,3,4,3,3,4
FB000445,F065,C090,2021-11-16,4,4,4,4,3,4
FB000446,F060,C083,2021-11-16,3,5,3,3,3,2
FB000447,F020,C020,2021-11-16,3,4,2,2,4,2
FB000448,F043,C036,2021-11-16,3,2,3,4,3,3
FB000449,F007,C007,2021-11-16,2,4,5,4,4,3
FB000450,F053,C068,2021-11-16,2,3,1,3,3,3
FB000451,F006,C053,2021-11-16,4,3,5,5,4,4
FB000452,F051,C044,2021-11-16,2,4,5,2,2,4
FB000453,F037,C014,2021-11-16,2,2,3,4,3,3
FB000454,F028,C039,2021-11-16,4,3,3,3,3,2
FB000455,F063,C077,2021-11-16,3,3,3,4,4,2
FB000456,F056,C065,2021-11-16,2,2,2,3,3,2
FB000457,F002,C002,2021-11-16,5,5,3,4,5,3
FB000458,F053,C068,2021-11-16,5,4,4,4,2,5
FB000459,F022,C022,2021-11-16,4,5,2,5,4,2
FB000460,F070,C062,2021-11-16,3,2,1,2,3,4
FB000461,F025,C052,2021-11-16,2,4,5,4,3,3
